"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	
1595	1696	1048	1061	1195	1485	253	186	135	228	322	184	242	398	228	864	268	291	352	368	120	311	
1500	1700	1000	1000	1200	1500	280	200	130	240	340	230	260	440	250	900	270	310	350	400	130	330	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
901	945	603	482	645	760	85	119	79	144	135	113	138	190	99	443	93	131	176	157	61	187	
111	114	75	47	47	61	69	11	10	18	83	37	24	120	45	69	74	51	32	63	6	19	
488	641	322	471	508	679	126	70	41	78	122	80	98	130	106	388	103	128	142	180	63	124	
111	114	75	47	47	61	69	11	10	18	83	37	24	120	45	69	73	51	32	63	6	19	
901	945	603	482	644	759	85	119	79	144	135	113	138	190	99	442	93	131	176	157	61	187	
11	8	8	2	10	10	0	2	0	2	1	2	3	0	1	9	0	1	1	2	0	0	
1001	1051	670	527	681	810	154	128	89	160	217	148	159	310	143	502	166	181	207	218	67	206	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	11	8	2	10	11	0	2	0	0	1	2	1	2	0	4	2	3	2	0	2	1	
111	119	72	47	71	70	14	9	2	5	16	12	8	34	7	61	11	20	23	11	21	16	
84	107	94	76	85	116	20	14	2	15	23	19	24	25	15	60	8	14	43	32	2	19	
758	770	470	379	490	581	111	97	83	134	172	104	114	242	114	367	141	138	134	172	39	161	
19	20	13	11	10	8	5	4	2	2	1	6	6	2	3	3	1	1	3	0	2	4	
5	8	5	3	7	12	2	2	0	2	3	0	4	2	1	0	0	3	2	0	1	2	
12	8	5	6	3	6	0	0	0	1	1	1	2	1	1	4	2	2	0	2	0	3	
6	8	3	3	5	6	2	0	0	1	0	4	0	2	2	3	1	0	0	1	0	0	
