"УИК №3501"	"УИК №3502"	"УИК №3503"	"УИК №3504"	"УИК №3505"	"УИК №3506"	"УИК №3507"	"УИК №3508"	"УИК №3509"	"УИК №3510"	"УИК №3511"	"УИК №3512"	"УИК №3513"	"УИК №3514"	"УИК №3515"	"УИК №3516"	"УИК №3517"	"УИК №3518"	"УИК №3519"	"УИК №3520"	"УИК №3521"	"УИК №3522"	"УИК №3523"	"УИК №3524"	"УИК №3525"	"УИК №3526"	"УИК №3527"	"УИК №3528"	"УИК №3529"	"УИК №3530"	"УИК №3531"	"УИК №3532"	"УИК №3533"	"УИК №3534"	"УИК №3535"	"УИК №3536"	"УИК №3537"	"УИК №3538"	"УИК №3539"	"УИК №3540"	"УИК №3541"	"УИК №3542"	"УИК №3543"	"УИК №3544"	"УИК №3545"	"УИК №3546"	"УИК №3547"	"УИК №3548"	"УИК №3549"	"УИК №3550"	"УИК №3551"	"УИК №3552"	
1955	1655	842	1894	1995	2111	1876	2236	2284	256	1811	350	311	1116	439	344	1070	1756	708	1236	1257	424	2046	353	1171	1576	646	617	382	243	184	116	463	270	590	642	759	423	505	2357	1216	208	305	1579	553	334	338	242	181	1930	2024	1983	
1900	1600	800	1700	1900	2000	1800	2000	2000	300	1700	350	300	1000	400	340	1000	2000	700	1100	1100	400	2000	350	1000	1400	600	600	400	250	180	110	440	250	550	650	750	400	500	2100	1200	200	300	1500	550	320	330	230	180	1900	2000	1900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
893	755	393	897	957	1159	985	1182	1248	108	1057	174	156	576	185	164	451	902	326	587	538	241	1273	152	368	784	248	164	167	160	135	65	332	147	207	248	274	197	282	1058	672	107	197	777	228	135	133	112	72	943	1046	865	
77	37	55	115	69	60	73	63	84	133	52	74	52	111	67	36	166	223	61	181	211	69	35	130	173	116	64	128	107	44	31	33	75	56	119	98	102	67	54	139	217	35	29	108	138	75	91	39	49	114	137	163	
930	808	352	688	874	781	742	755	668	59	591	102	92	313	148	140	383	875	313	332	351	90	692	68	459	500	288	308	126	46	14	12	33	47	224	304	374	136	164	903	311	58	74	615	184	110	106	79	59	843	817	872	
77	37	55	115	69	60	73	63	84	133	52	74	52	111	67	36	166	223	61	181	211	69	35	130	173	116	64	128	107	44	31	33	75	56	119	98	102	67	54	139	217	35	29	108	138	75	91	39	49	114	137	163	
893	755	393	897	957	1159	985	1181	1248	108	1057	174	156	576	185	164	451	902	326	587	538	241	1273	152	368	784	248	164	167	160	135	65	332	147	207	248	274	197	282	1058	672	107	197	777	228	135	133	112	72	943	1046	865	
11	6	1	13	16	6	9	10	24	2	0	1	0	12	2	0	4	3	4	5	9	0	17	1	2	4	1	42	4	0	1	0	1	0	6	1	4	1	2	17	3	3	4	7	1	0	0	1	0	17	9	12	
959	786	447	999	1010	1213	1049	1234	1308	239	1109	247	208	675	250	200	613	1122	383	763	740	310	1291	281	539	896	311	250	270	204	165	98	406	203	320	345	372	263	334	1180	886	139	222	878	365	210	224	150	121	1040	1174	1016	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	3	5	6	6	7	13	13	1	4	3	0	4	0	1	6	6	2	3	5	2	10	2	3	7	2	4	1	1	1	0	1	2	1	4	1	0	4	9	7	3	0	7	2	2	0	0	0	13	7	5	
127	107	51	116	125	173	110	166	148	20	162	15	6	81	16	11	59	141	43	86	86	22	173	13	49	115	35	20	19	13	2	1	19	5	16	47	18	23	19	143	52	12	13	112	25	11	4	2	5	130	135	107	
60	51	26	65	56	80	68	71	87	23	53	14	11	39	22	18	31	71	25	39	39	12	66	8	35	50	22	17	17	10	7	3	16	11	27	21	27	11	24	77	28	8	14	70	22	9	5	1	10	59	73	53	
736	600	353	783	795	924	830	947	1031	193	864	206	189	537	203	157	508	875	303	609	592	271	1016	257	441	704	248	203	227	176	155	93	367	185	269	267	318	221	282	925	788	115	192	664	314	181	210	145	106	809	932	833	
12	9	4	10	12	10	11	17	13	2	9	3	0	5	0	5	5	15	5	8	4	2	16	0	2	6	2	2	2	1	0	0	1	0	1	3	1	2	4	11	3	0	1	5	0	1	3	0	0	6	14	9	
7	7	2	8	7	8	11	7	4	0	7	3	2	2	6	6	1	6	2	12	7	1	4	1	6	7	2	2	4	3	0	1	1	0	5	2	5	3	0	6	4	1	0	4	2	3	0	0	0	9	7	5	
6	4	3	5	4	6	6	8	6	0	4	2	0	4	1	2	3	6	1	2	4	0	4	0	2	5	0	1	0	0	0	0	0	0	0	1	1	0	1	6	3	0	0	8	0	1	2	2	0	5	4	1	
9	4	5	7	5	6	6	5	6	0	6	1	0	3	2	0	0	2	2	4	3	0	2	0	1	2	0	1	0	0	0	0	1	0	1	0	1	3	0	3	1	0	2	8	0	2	0	0	0	9	2	3	
