"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	
1688	1606	1154	1728	1601	1470	1708	1586	1325	1256	1011	1469	1826	1168	195	169	611	552	335	497	1293	1622	1628	659	877	877	1149	1061	374	541	507	875	690	662	289	97	609	189	299	308	368	
1650	1550	1100	1650	1550	1350	1650	1500	1250	1200	950	1400	1750	1010	190	160	600	550	320	480	1250	1600	1600	650	850	850	1100	1050	375	550	500	850	670	650	280	98	600	190	290	300	365	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
845	799	612	933	842	863	914	911	698	620	499	711	1121	781	149	119	408	362	226	295	587	702	695	535	359	385	691	517	214	345	379	664	407	404	187	83	338	140	202	224	282	
124	151	103	123	139	122	121	183	116	148	202	199	40	56	27	18	107	82	65	80	124	132	143	71	154	108	204	202	63	89	83	119	112	106	30	0	95	19	49	28	47	
681	600	385	594	569	365	615	406	436	432	249	490	589	173	14	23	85	106	29	105	539	766	762	44	337	357	205	331	98	116	38	67	151	140	63	15	167	31	39	48	36	
124	151	103	123	139	122	121	183	116	148	202	199	40	56	27	18	107	82	65	80	124	132	143	71	154	108	204	202	63	89	83	119	112	106	30	0	95	19	49	28	47	
845	799	612	930	842	863	914	911	698	620	499	711	1121	781	149	119	408	362	226	295	587	701	695	535	359	385	691	517	214	345	379	664	407	404	187	83	338	140	202	224	282	
7	6	0	9	9	8	16	20	8	11	2	20	13	7	0	0	2	1	1	11	6	1	10	1	3	9	6	6	3	4	0	6	0	5	0	0	4	5	5	4	3	
962	944	715	1044	972	977	1019	1074	806	757	699	890	1148	830	176	137	513	443	290	364	705	832	828	605	510	484	889	713	274	430	462	777	519	505	217	83	429	154	246	248	326	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	6	3	10	3	10	10	6	7	2	2	6	1	5	0	1	1	3	1	1	9	3	6	2	2	2	5	0	1	3	1	7	0	2	0	0	3	1	2	1	1	
140	141	50	161	169	157	169	154	103	93	32	108	164	163	6	10	32	41	22	22	143	83	116	46	63	75	96	60	11	52	9	80	45	51	32	0	30	8	12	10	13	
88	62	11	71	59	72	81	70	54	58	36	82	86	65	5	8	42	30	28	11	39	71	48	20	22	26	65	66	23	41	23	42	9	26	16	2	28	5	19	11	19	
710	714	642	784	725	713	736	820	614	589	613	675	868	570	163	117	433	362	239	329	509	661	636	527	408	377	710	567	228	322	429	632	460	423	168	80	353	138	196	219	286	
7	7	2	3	4	11	7	12	9	7	5	5	8	16	1	1	2	1	0	0	3	2	9	2	5	2	4	6	0	4	0	6	1	0	1	0	5	1	2	2	2	
9	9	5	8	9	5	7	8	13	6	6	11	13	7	0	0	2	6	0	0	2	5	8	1	8	0	8	9	9	2	0	8	4	3	0	1	9	1	15	4	2	
0	2	0	5	2	7	2	2	5	2	3	3	5	0	0	0	1	0	0	0	0	5	3	3	1	1	0	3	1	6	0	1	0	0	0	0	1	0	0	1	1	
0	3	2	2	1	2	7	2	1	0	2	0	3	4	1	0	0	0	0	1	0	2	2	4	1	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	2	
