"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	
368	118	439	224	502	68	1067	168	506	259	231	1022	1083	1175	1089	1302	981	111	247	160	562	67	249	306	363	409	854	343	477	67	403	
400	130	450	220	600	80	1000	190	600	250	210	950	1000	1100	1000	1100	1000	120	250	160	600	80	250	300	300	450	900	350	500	70	450	
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	2	0	0	0	0	0	
272	103	322	203	399	55	825	138	373	219	190	550	686	717	724	864	584	104	171	131	375	61	201	208	241	292	561	277	370	61	328	
30	2	29	0	27	1	60	7	31	9	8	90	26	23	16	19	13	0	8	9	24	1	12	12	9	21	59	13	24	3	26	
98	25	99	17	174	24	113	45	196	22	12	310	288	360	260	217	403	16	67	20	194	18	37	80	50	135	280	60	106	6	96	
30	2	29	0	27	1	62	7	31	9	8	90	26	23	16	19	13	0	12	9	31	1	12	12	9	23	59	13	24	3	26	
272	103	322	203	399	55	825	138	373	219	190	550	686	717	724	864	584	104	171	131	374	61	201	208	241	292	561	277	370	61	328	
0	0	2	1	5	0	1	0	3	1	1	4	6	4	4	3	3	0	1	1	1	0	1	1	1	2	8	2	3	0	1	
302	105	349	202	421	56	886	145	401	227	197	636	706	736	736	880	594	104	182	139	404	62	212	219	249	313	612	288	391	64	353	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	0	2	1	0	0	1	0	0	1	1	3	2	3	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0	
135	45	100	30	122	7	300	37	101	51	65	236	276	289	283	315	197	29	68	44	107	10	59	81	86	87	227	74	190	13	93	
3	1	5	2	3	0	18	1	12	2	5	4	3	6	5	2	4	1	1	0	2	1	1	1	2	3	7	0	4	0	3	
158	56	241	164	285	48	545	104	281	170	120	377	400	419	427	540	383	72	110	95	291	51	145	136	157	220	362	206	190	46	247	
1	2	1	4	5	0	19	3	3	2	4	14	20	9	15	9	5	0	1	0	1	0	6	1	3	3	8	6	6	3	5	
0	0	1	1	2	0	3	0	1	0	1	0	3	2	0	5	1	0	1	0	0	0	0	0	0	0	3	0	0	1	4	
2	0	0	0	1	0	0	0	1	2	1	1	1	6	2	3	1	0	0	0	2	0	0	0	0	0	2	0	1	1	1	
2	1	0	1	1	0	1	0	1	0	1	3	2	2	2	3	3	0	0	0	1	0	0	0	0	0	2	2	0	0	0	
