"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	
1960	2423	1454	1155	1458	1398	1672	1461	1807	
1900	2400	1450	1200	1450	1400	1700	1500	1800	
0	0	0	0	0	0	0	0	0	
1618	2043	1123	1000	1166	1150	1460	1220	1558	
4	7	6	13	75	5	8	5	3	
278	350	321	187	209	245	232	275	239	
4	7	6	13	75	5	8	5	3	
1618	2043	1123	1000	1166	1150	1460	1220	1558	
17	26	11	16	11	15	14	19	17	
1605	2024	1118	997	1230	1140	1454	1206	1544	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

8	14	8	3	3	5	6	2	5	
138	151	124	88	54	115	136	101	124	
120	136	80	64	81	59	93	88	95	
1299	1669	863	814	1059	929	1174	997	1290	
10	17	13	15	10	15	25	4	11	
13	11	18	3	14	8	8	7	2	
10	15	8	5	2	5	7	3	8	
7	11	4	5	7	4	5	4	9	
