"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	
1609	1204	273	104	269	356	377	332	233	447	229	90	180	
1400	1100	250	100	280	300	350	300	200	400	200	80	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	
921	693	91	56	69	158	135	140	75	201	77	22	70	
97	75	64	18	101	85	128	77	80	89	65	37	52	
382	332	95	26	110	57	87	83	45	110	58	21	58	
97	75	64	18	101	85	128	77	80	89	65	37	52	
921	693	91	56	69	158	135	140	75	201	77	22	70	
9	3	3	0	0	1	1	2	0	2	0	0	0	
1009	765	152	74	170	242	262	215	155	288	142	59	122	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

11	8	2	0	2	4	4	1	0	3	3	0	0	
120	86	19	0	11	15	17	16	11	44	4	0	14	
75	61	14	5	9	22	21	15	6	21	25	4	13	
775	591	114	69	143	199	214	173	133	205	107	55	94	
14	8	1	0	3	0	1	4	1	7	2	0	0	
4	4	1	0	0	2	3	1	2	5	1	0	1	
3	5	0	0	0	0	0	2	1	2	0	0	0	
7	2	1	0	2	0	2	3	1	1	0	0	0	
