"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	
232	326	163	75	356	209	171	697	262	169	452	167	211	1244	1094	1242	1226	
260	317	160	80	350	220	180	670	270	170	450	170	230	1250	1200	1250	1270	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112	115	94	57	145	120	86	367	152	70	150	68	67	833	758	795	794	
82	107	48	3	140	78	38	183	63	66	180	70	104	38	47	112	55	
66	95	18	20	65	22	56	120	55	34	120	32	59	379	395	343	421	
82	107	48	3	140	78	38	183	63	66	180	70	104	38	47	112	55	
112	115	94	57	145	120	86	367	152	70	150	68	67	833	758	795	794	
2	0	0	2	2	0	0	1	2	1	1	1	0	8	8	14	15	
192	222	142	58	283	198	124	549	213	135	329	137	171	863	797	893	834	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	1	0	3	1	1	7	4	1	5	0	2	6	6	4	17	
9	25	13	8	22	9	9	81	50	16	17	12	17	111	98	111	121	
12	28	25	12	31	19	10	50	25	7	34	13	25	90	97	90	89	
164	169	103	38	218	163	103	396	124	108	270	104	126	632	563	661	579	
3	0	0	0	3	5	1	3	3	1	1	1	0	11	12	13	10	
1	0	0	0	1	1	0	2	3	2	0	2	1	5	8	4	4	
0	0	0	0	4	0	0	6	1	0	1	3	0	4	8	5	6	
1	0	0	0	1	0	0	4	3	0	1	2	0	4	5	5	8	
