"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	
2100	1980	2273	2114	2043	2158	2100	1866	1575	1591	1600	2233	2100	1937	1558	1294	1480	1418	728	1170	1456	1311	1369	945	655	2123	768	1597	1763	2269	2171	1488	1264	1800	1675	553	1668	1427	1148	1683	506	1443	1295	1549	1359	1596	1946	1621	177	215	1850	1395	
2000	2000	2100	2000	2000	2000	2000	1800	1500	1500	1600	2100	2100	2000	1500	1300	1400	1400	700	1100	1400	1300	1300	900	600	2100	700	1600	1700	2300	2100	1400	1200	1800	1700	500	1600	1400	1100	1700	450	1400	1300	1500	1300	1600	2000	1600	177	216	1900	1400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1318	1347	1578	1451	1409	1457	1453	1220	1035	1018	1040	1413	1345	1259	994	736	853	672	386	738	755	766	831	554	307	1313	390	995	1060	1287	1327	981	860	1107	1064	342	1102	854	756	1070	263	870	814	987	811	694	1067	888	177	147	1122	834	
51	20	23	29	34	41	40	37	48	50	39	54	56	44	39	50	17	134	56	39	77	40	45	21	81	52	17	29	58	36	30	11	16	33	38	84	43	43	26	22	10	35	27	37	28	65	46	86	0	63	43	19	
631	633	499	520	557	502	507	543	417	432	521	633	699	697	467	514	530	594	258	323	568	494	424	325	212	735	293	576	582	977	743	408	324	660	598	74	455	503	318	608	177	495	459	476	461	841	887	626	0	6	735	547	
51	20	23	29	34	41	40	37	48	50	39	54	56	44	39	50	17	134	56	39	77	40	45	21	81	52	17	29	58	36	30	11	16	33	38	84	43	43	26	22	10	35	27	37	28	65	46	86	0	63	43	19	
1318	1347	1578	1448	1409	1457	1452	1220	1035	1018	1040	1407	1345	1257	994	736	853	672	386	738	755	763	831	554	307	1312	390	995	1060	1287	1327	981	860	1107	1064	342	1100	854	756	1070	263	870	814	987	811	694	1067	888	177	147	1122	834	
8	20	14	10	23	12	18	9	10	2	15	17	14	18	7	9	7	4	4	11	5	7	5	6	2	14	5	12	17	15	17	9	5	8	7	29	10	58	7	10	4	8	6	10	11	6	5	3	0	4	10	7	
1361	1347	1587	1467	1420	1486	1474	1248	1073	1066	1064	1444	1387	1283	1026	777	863	802	438	766	827	796	871	569	386	1350	402	1012	1101	1308	1340	983	871	1132	1095	397	1133	839	775	1082	269	897	835	1014	828	753	1108	971	177	206	1155	846	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	20	15	17	13	15	16	10	15	10	9	15	21	16	11	7	14	4	3	4	10	6	7	5	4	15	2	10	22	11	10	12	12	9	5	5	6	7	5	15	2	7	10	6	10	7	12	9	0	4	6	6	
170	178	212	165	163	191	182	169	138	133	125	174	204	185	137	118	129	105	75	108	130	92	102	78	47	198	54	136	151	227	178	147	134	151	140	18	179	123	98	178	49	105	123	161	133	110	146	121	9	28	161	120	
97	116	103	114	133	103	118	81	64	66	69	112	99	120	77	47	55	66	28	55	51	64	68	50	24	80	33	75	87	101	129	79	67	78	93	30	78	66	67	83	28	81	82	72	64	62	102	86	51	17	84	72	
972	956	1164	1074	1037	1080	1075	923	785	794	788	1029	967	875	738	543	604	585	314	566	600	607	642	407	289	945	292	730	773	894	939	698	610	832	784	327	799	586	561	727	172	640	558	717	571	536	792	713	104	146	849	583	
42	38	40	40	30	47	31	26	25	32	36	54	33	39	27	23	28	19	10	11	9	8	18	10	11	46	5	30	35	34	41	12	16	22	29	6	24	20	18	28	5	26	18	18	20	18	14	13	9	6	19	26	
10	6	12	15	8	13	8	3	5	3	8	7	10	8	7	5	6	2	3	8	13	3	7	1	3	9	5	7	5	12	7	10	12	9	7	3	14	6	3	12	4	12	8	9	8	5	11	7	0	1	7	7	
24	13	16	16	15	15	22	13	8	11	9	18	22	18	17	9	14	7	2	4	6	6	9	8	3	21	3	10	13	12	16	13	13	15	17	3	13	12	14	14	6	5	17	9	9	10	23	13	3	1	11	11	
33	20	25	26	21	22	22	23	33	17	20	35	31	22	12	25	13	14	3	10	8	10	18	10	5	36	8	14	15	17	20	12	7	16	20	5	20	19	9	25	3	21	19	22	13	5	8	9	1	3	18	21	
