"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	
570	616	618	391	327	152	384	582	444	401	111	342	572	449	181	
541	626	600	407	333	157	388	595	435	433	113	357	545	472	198	
0	0	0	0	0	0	0	0	23	0	0	0	0	0	16	
362	371	379	204	137	79	177	379	252	171	50	191	290	228	68	
7	5	0	5	4	2	3	14	1	5	2	0	12	6	4	
172	250	221	198	192	76	208	202	159	257	61	166	243	238	110	
7	5	0	5	4	2	3	14	24	5	2	0	12	6	20	
362	371	379	204	137	79	177	379	252	171	50	191	290	228	68	
7	7	2	4	0	0	1	0	3	1	0	1	6	2	0	
362	369	377	205	141	81	179	393	273	175	52	190	296	232	88	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	5	2	1	1	2	2	2	1	0	0	4	1	0	
68	71	74	42	33	16	45	49	51	32	3	38	53	39	12	
37	43	45	30	18	7	26	44	42	27	8	31	42	33	19	
241	245	247	122	88	54	101	296	172	106	39	118	187	150	55	
5	3	3	4	0	0	3	0	3	2	1	1	6	3	1	
3	4	1	4	0	3	1	1	2	1	1	1	3	2	0	
3	0	1	1	0	0	1	1	0	3	0	1	0	3	1	
2	3	1	0	1	0	0	0	1	3	0	0	1	1	0	
