"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	
2474	1818	2402	1772	1604	1243	1217	943	164	892	123	65	950	1215	778	478	1028	950	153	641	178	675	1165	121	
2395	1770	2318	1783	1588	1283	1258	892	152	866	120	62	913	1190	758	446	954	879	141	607	162	633	1115	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1792	1543	2073	1640	966	1008	944	816	123	780	108	52	852	1140	697	409	812	652	128	523	145	588	1051	108	
200	111	173	126	131	105	134	66	14	66	0	4	57	45	59	33	126	129	11	63	14	41	49	0	
403	116	72	17	491	170	180	10	15	20	12	6	4	5	2	4	16	98	2	21	3	4	15	2	
200	111	173	126	131	105	134	66	14	66	0	4	57	45	59	33	126	129	11	63	14	41	49	0	
1792	1543	2073	1640	966	1008	944	816	123	780	108	52	852	1140	697	409	812	652	128	523	145	588	1051	108	
20	16	32	20	25	17	13	7	4	6	2	1	14	8	30	1	9	12	3	11	0	17	11	0	
1972	1638	2214	1746	1072	1096	1065	875	133	840	106	55	895	1177	726	441	929	769	136	575	159	612	1089	108	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	7	9	12	17	38	14	3	1	2	1	0	8	3	5	2	4	5	1	5	0	14	40	1	
243	151	284	160	173	107	131	111	5	54	17	4	79	82	45	40	73	76	17	43	11	49	122	16	
82	69	85	69	57	39	83	47	6	30	7	9	39	41	23	24	18	40	0	31	2	63	50	5	
1599	1388	1802	1484	803	878	778	704	118	745	80	40	742	1036	641	373	829	642	118	486	145	407	867	84	
18	9	7	10	5	16	10	1	1	4	0	0	10	6	5	0	4	1	0	4	1	17	4	1	
11	7	17	6	6	7	20	4	2	3	0	0	9	1	4	1	1	1	0	4	0	13	4	1	
10	2	6	2	8	5	21	2	0	1	1	1	5	6	2	1	0	4	0	1	0	7	2	0	
0	5	4	3	3	6	8	3	0	1	0	1	3	2	1	0	0	0	0	1	0	42	0	0	
