"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	
1386	1751	1027	1913	1852	2132	887	963	2008	634	801	638	308	388	691	867	307	1245	486	290	1081	
1320	1700	1010	1800	1850	2050	900	910	1950	620	780	600	280	360	695	850	300	1210	470	290	1080	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
945	1555	915	1594	1480	1720	865	801	1154	586	701	540	273	327	658	727	272	800	425	281	1070	
60	43	83	130	114	203	17	50	194	13	19	32	7	31	33	70	10	86	40	9	5	
315	102	12	76	256	127	18	59	602	21	60	28	0	2	4	53	18	324	5	0	5	
60	43	83	130	114	203	17	50	194	13	19	32	7	31	33	70	10	86	40	9	5	
945	1555	915	1594	1480	1720	865	801	1154	586	701	540	273	327	658	727	272	800	425	281	1070	
8	0	13	29	24	27	0	12	3	7	7	5	8	0	0	3	1	16	0	1	0	
997	1598	985	1695	1570	1896	882	839	1345	592	713	567	272	358	691	794	281	870	465	289	1075	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	1	1	7	9	17	0	11	17	1	1	1	0	0	3	4	0	3	0	0	8	
153	77	132	196	209	219	18	40	50	48	99	39	12	29	21	63	41	91	86	17	43	
36	27	16	55	83	75	5	42	69	15	19	31	19	12	9	51	23	54	5	15	3	
784	1486	825	1400	1241	1553	849	729	1185	518	588	485	241	313	652	670	216	713	372	254	1004	
8	3	2	12	11	11	2	9	5	1	0	5	0	4	0	5	1	1	2	1	10	
7	1	4	11	6	11	6	4	8	7	4	4	0	0	1	0	0	3	0	1	2	
3	1	3	7	4	7	1	3	4	1	2	0	0	0	2	1	0	3	0	1	0	
1	2	2	7	7	3	1	1	7	1	0	2	0	0	3	0	0	2	0	0	5	
