"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	
1180	1247	258	231	114	165	593	1190	2558	387	207	684	1196	206	536	165	166	347	1447	488	195	
1121	1244	233	224	109	158	592	1204	2548	361	195	684	1194	200	532	154	154	358	1416	468	173	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
636	859	210	224	109	153	583	1111	2401	342	192	638	1179	183	514	150	152	343	1251	409	148	
47	190	11	0	0	5	7	46	109	14	0	40	6	15	11	4	0	0	72	2	22	
438	195	12	0	0	0	2	47	38	5	3	6	9	2	7	0	2	15	93	57	3	
47	190	11	0	0	5	7	46	109	14	0	40	6	15	11	4	0	0	72	2	22	
636	859	210	224	109	153	583	1111	2401	342	192	638	1179	183	514	150	152	343	1251	409	148	
6	21	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	3	0	
677	1028	220	224	109	158	590	1148	2510	356	192	678	1185	198	525	154	152	343	1311	408	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	3	0	0	
109	115	9	4	1	2	11	137	55	105	6	8	46	4	58	15	13	20	180	19	3	
29	52	1	0	0	2	0	3	5	1	0	1	3	2	0	0	2	1	12	8	6	
523	833	205	220	108	152	579	995	2450	248	186	665	1135	190	467	139	134	319	1106	377	159	
8	9	0	0	0	2	0	8	0	0	0	1	0	0	0	0	1	1	4	2	2	
4	9	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	4	0	0	
1	4	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	1	0	
1	3	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	
