"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	
319	155	578	51	131	534	1128	1183	1568	1571	402	185	479	704	143	372	180	825	125	106	714	
300	140	560	50	110	500	900	900	1300	1300	380	160	450	700	120	350	150	810	110	100	710	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
198	100	301	29	78	331	641	684	840	829	224	108	268	376	89	237	115	420	61	71	461	
30	9	38	0	5	46	40	42	58	45	14	8	28	37	7	25	4	52	19	3	38	
72	31	221	21	27	123	219	174	402	426	142	44	154	287	24	88	31	338	30	26	211	
30	9	38	0	5	46	40	42	58	45	14	8	28	37	7	25	4	52	19	3	38	
198	100	301	29	78	331	641	684	840	829	224	108	268	375	89	237	115	420	61	71	461	
1	1	4	0	0	0	3	9	4	6	2	1	5	6	1	0	0	6	0	1	3	
227	108	335	29	83	377	678	717	894	868	236	115	291	406	95	262	119	466	80	73	496	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	0	0	1	3	3	8	4	1	3	0	4	0	2	0	2	0	1	4	
43	23	82	4	8	31	199	228	205	223	59	20	28	79	14	20	14	102	17	14	128	
24	4	24	5	3	36	39	49	56	86	12	16	30	51	8	21	22	57	8	1	56	
153	79	214	20	71	307	425	417	607	544	157	76	229	265	72	213	81	293	55	54	300	
3	2	2	0	0	1	5	8	8	3	1	0	1	1	1	1	1	0	0	0	1	
1	0	10	0	1	1	3	4	7	4	4	0	1	5	0	4	1	6	0	3	3	
2	0	1	0	0	0	3	3	2	1	1	0	1	1	0	0	0	0	0	0	3	
0	0	2	0	0	0	1	5	1	3	1	0	1	0	0	1	0	6	0	0	1	
