"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	
1038	1471	773	1532	1293	1440	1460	1408	1330	1539	1373	1380	860	1558	1384	1283	1525	1382	1661	1529	540	728	634	278	702	67	341	59	638	234	64	71	599	216	78	551	57	56	728	111	250	1021	613	153	246	55	913	473	102	365	
900	1200	650	1300	1100	1200	1200	1200	1150	1350	1150	1150	700	1300	1150	1050	1300	1250	1350	1300	450	600	550	250	600	60	300	60	550	200	60	70	550	200	80	500	60	60	650	100	250	900	500	150	240	80	750	400	100	370	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
571	732	387	757	730	855	905	895	755	888	734	817	658	949	763	723	841	918	976	896	299	457	332	181	446	48	242	39	407	130	37	49	351	129	51	329	41	27	462	68	148	572	371	108	200	45	539	284	48	239	
48	110	32	55	45	84	63	63	48	45	53	57	9	117	67	40	36	77	44	37	31	43	23	2	55	4	20	5	28	17	8	5	39	33	4	49	4	19	86	12	24	67	35	9	9	3	38	31	11	34	
281	358	231	488	325	261	232	242	347	417	363	276	33	234	320	287	423	255	330	367	120	100	195	67	99	8	38	16	115	53	15	16	160	38	25	122	15	14	102	20	78	261	94	33	31	32	173	85	41	97	
48	110	32	55	45	84	63	63	48	45	53	57	9	117	67	40	36	77	44	37	31	43	23	2	55	4	20	5	28	17	8	5	39	33	4	49	4	19	86	12	24	67	35	9	9	3	38	31	11	34	
571	732	387	757	730	855	905	895	755	888	733	817	658	949	763	723	841	918	976	896	299	456	332	181	446	48	242	39	407	130	37	49	351	129	51	329	41	27	462	68	148	572	371	108	200	45	539	284	48	239	
3	16	6	8	10	11	11	7	8	13	5	11	10	19	7	7	5	16	16	12	3	6	2	1	5	1	1	1	6	2	0	0	1	2	1	3	1	0	5	0	3	2	5	0	1	0	7	0	2	2	
616	826	413	804	765	928	957	951	795	920	781	863	657	1047	823	756	872	979	1004	921	327	493	353	182	496	51	261	43	429	145	45	54	389	160	54	375	44	46	543	80	169	637	401	117	208	48	570	315	57	271	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	6	5	6	4	11	7	3	5	6	9	4	8	6	3	5	11	7	3	1	2	0	1	6	0	1	0	2	1	1	0	2	0	1	3	1	0	4	2	2	3	2	1	0	0	9	2	0	1	
166	210	110	224	233	237	208	228	206	216	210	226	144	258	216	220	258	243	272	268	75	144	65	51	98	3	19	6	73	15	5	5	71	19	3	45	3	1	95	15	40	104	79	9	61	18	97	33	12	42	
56	73	36	64	47	48	51	49	65	80	66	69	45	52	46	60	76	49	74	70	24	24	45	9	36	3	22	5	25	4	7	10	33	12	2	24	10	11	28	7	9	49	49	2	10	1	57	25	9	29	
367	524	253	499	457	621	659	642	502	598	472	538	449	698	538	465	514	646	621	555	227	312	238	116	348	45	212	32	322	121	32	38	281	129	47	292	30	33	407	56	111	474	258	102	132	29	397	252	35	190	
2	5	3	6	9	9	9	8	5	6	4	7	6	3	7	3	8	9	6	9	0	4	2	2	2	0	3	0	1	3	0	0	1	0	1	4	0	1	1	0	1	1	7	1	3	0	1	2	1	3	
10	5	3	0	3	5	14	4	5	3	5	4	2	15	5	4	5	12	6	4	0	3	1	0	1	0	3	0	3	1	0	1	1	0	0	3	0	0	6	0	4	4	5	0	1	0	1	1	0	4	
4	1	0	3	4	2	2	2	4	9	13	8	6	6	4	0	3	2	8	6	0	1	2	1	1	0	0	0	3	0	0	0	0	0	0	2	0	0	2	0	0	1	1	0	0	0	3	0	0	2	
5	5	2	3	6	2	3	11	5	3	5	2	1	7	1	1	3	7	10	6	0	3	0	2	4	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	2	1	0	5	0	0	0	
