"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	
659	205	1134	519	555	933	202	192	109	1023	160	123	426	1094	434	2760	2043	2197	513	1044	804	755	1102	226	149	
700	200	1130	500	550	1000	210	200	100	1100	150	140	420	1100	450	2850	2000	2200	450	1100	800	750	1100	200	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
431	125	672	300	285	585	143	113	70	584	92	78	257	649	254	1458	1209	1287	217	555	433	420	635	110	85	
34	13	38	19	55	65	14	10	3	33	8	5	14	29	36	92	63	34	51	41	59	45	86	17	6	
235	62	420	181	210	350	53	77	27	483	50	57	149	422	160	1300	728	879	182	504	308	285	379	73	59	
34	13	38	19	55	65	14	10	3	33	8	5	14	29	36	92	63	34	51	41	59	45	86	17	6	
431	125	672	300	285	585	143	113	70	584	92	78	257	649	254	1458	1209	1287	217	555	433	420	635	110	85	
5	0	9	4	3	3	0	0	1	1	2	0	8	10	3	19	21	19	1	7	8	6	7	1	2	
460	138	701	315	337	647	157	123	72	616	98	83	263	668	287	1531	1251	1302	267	589	484	459	714	126	89	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	3	2	1	7	1	1	0	3	0	0	2	8	3	9	16	6	1	5	2	1	5	0	1	
66	30	157	74	52	120	26	4	3	105	17	7	88	141	43	395	323	353	69	139	94	98	125	24	23	
40	9	31	23	33	47	14	20	4	52	17	1	25	55	13	105	65	85	22	50	45	54	55	13	10	
345	91	491	206	247	460	115	98	65	446	63	73	144	441	224	983	823	828	166	385	336	297	509	87	52	
3	1	7	5	2	7	1	0	0	6	0	1	0	8	1	13	10	14	2	4	3	1	7	1	2	
4	3	8	3	2	2	0	0	0	2	1	1	2	8	0	13	6	4	1	4	3	5	4	1	1	
0	0	3	2	0	1	0	0	0	2	0	0	0	4	2	7	3	7	2	2	0	1	2	0	0	
0	0	1	0	0	3	0	0	0	0	0	0	2	3	1	6	5	5	4	0	1	2	7	0	0	
