"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	
1982	898	189	144	119	1062	48	139	193	739	96	117	193	579	364	
2080	925	185	150	130	1115	75	160	220	810	100	130	200	645	420	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1224	545	113	100	86	637	40	96	143	479	56	57	139	370	196	
113	58	9	3	5	60	5	17	10	47	6	5	5	54	64	
743	322	63	47	39	418	30	47	67	284	38	68	56	221	160	
113	58	9	3	5	60	5	17	10	47	6	5	5	54	64	
1224	545	113	100	86	637	40	96	143	479	56	57	139	370	196	
13	2	0	0	0	6	0	0	0	8	1	1	1	7	5	
1324	601	122	103	91	691	45	113	153	518	61	61	143	417	255	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	3	1	0	0	5	0	1	0	2	0	0	0	1	2	
384	193	23	17	3	181	7	18	22	94	7	8	12	58	27	
87	47	4	7	9	55	3	16	12	51	2	8	7	22	23	
825	350	91	78	76	442	34	76	117	357	50	44	121	330	198	
8	4	2	0	1	3	1	1	2	10	0	0	2	1	2	
5	3	0	0	1	1	0	1	0	2	1	0	1	5	3	
3	0	0	1	0	2	0	0	0	0	1	1	0	0	0	
4	1	1	0	1	2	0	0	0	2	0	0	0	0	0	
