"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	
2397	2260	2437	2142	2197	2363	2476	263	929	571	248	120	216	223	133	195	206	
2100	2100	2100	2100	2100	2100	2200	350	1040	640	260	140	250	240	150	220	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1752	1691	1716	1476	1424	1686	1875	184	929	571	248	120	216	223	133	195	206	
13	5	13	23	11	16	8	79	0	0	0	0	0	0	0	0	0	
335	404	371	601	665	398	317	87	111	69	12	20	34	17	17	25	24	
13	5	13	23	11	16	8	79	0	0	0	0	0	0	0	0	0	
1752	1690	1716	1476	1424	1685	1873	184	929	571	248	120	216	223	133	195	206	
10	12	18	14	18	25	16	1	0	18	0	3	4	3	4	16	7	
1755	1683	1711	1485	1417	1676	1865	262	929	553	248	117	212	220	129	179	199	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	10	11	10	7	7	10	1	0	0	0	0	0	0	0	0	0	
197	182	207	161	127	161	157	9	2	0	0	0	0	0	0	0	0	
126	118	126	101	108	114	98	12	2	0	0	0	0	0	0	0	0	
1364	1306	1311	1180	1107	1326	1544	227	921	553	248	117	212	220	129	179	199	
22	29	25	13	23	33	27	10	1	0	0	0	0	0	0	0	0	
10	8	12	6	20	17	8	0	0	0	0	0	0	0	0	0	0	
16	21	10	7	14	4	12	1	1	0	0	0	0	0	0	0	0	
13	9	9	7	11	14	9	2	2	0	0	0	0	0	0	0	0	
