"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	
1242	779	1454	191	131	347	127	217	438	458	930	179	413	137	978	809	144	666	289	299	697	143	172	301	152	528	187	1410	1067	1221	1900	356	280	410	
1400	781	1510	202	137	350	126	225	450	480	958	175	426	138	1000	824	148	710	283	308	708	142	166	312	150	512	190	1417	1104	1400	1970	368	285	425	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
972	628	1310	141	109	291	85	171	382	337	753	139	360	89	712	677	115	512	214	190	512	119	142	267	135	438	152	1227	936	980	1171	309	236	352	
148	96	70	10	17	32	15	17	25	39	50	20	39	26	44	42	8	34	29	61	67	14	18	12	7	37	22	64	35	31	18	16	22	29	
280	57	130	51	11	27	26	37	43	104	155	16	27	23	244	105	25	164	40	57	129	9	6	33	8	37	16	126	133	389	781	43	27	44	
148	96	70	10	17	32	15	17	25	39	50	20	39	26	44	42	8	34	29	61	67	14	18	12	7	37	22	64	35	31	18	16	22	29	
972	628	1310	141	109	291	85	171	382	337	753	139	360	89	712	677	115	512	214	190	512	119	142	267	135	438	152	1227	936	980	1171	309	236	352	
4	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	10	0	0	3	0	0	0	0	0	0	0	9	12	18	0	2	0	
1116	722	1380	151	126	323	100	186	407	376	803	159	399	115	756	717	123	536	243	251	576	133	160	279	142	475	174	1291	962	999	1171	325	256	381	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	3	0	0	0	0	0	3	0	5	0	4	0	4	3	0	5	1	0	1	0	0	14	1	4	0	11	6	2	14	0	0	2	
67	80	91	17	3	13	10	20	47	53	70	16	41	2	84	60	18	56	37	32	63	8	7	22	19	56	16	162	202	225	276	23	17	43	
50	56	88	3	12	8	10	5	28	16	86	10	15	6	56	27	12	25	0	0	27	5	4	22	5	31	4	57	25	37	53	17	12	24	
977	569	1190	129	109	301	76	157	322	303	606	130	332	103	587	618	91	441	197	215	465	116	145	195	116	375	144	1041	700	717	779	275	223	299	
10	2	2	0	2	0	0	2	3	0	14	1	1	0	8	1	0	2	5	1	7	1	0	8	0	3	4	2	6	5	13	0	2	2	
4	4	0	0	0	0	4	1	2	1	5	0	4	2	8	3	1	2	2	2	8	3	2	6	1	3	4	0	14	5	15	10	1	8	
7	2	4	2	0	0	0	1	0	2	6	2	1	0	5	2	1	2	1	0	2	0	0	6	0	1	0	13	7	6	10	0	0	0	
0	6	2	0	0	1	0	0	2	1	11	0	1	2	4	3	0	3	0	1	3	0	2	6	0	2	2	5	2	2	11	0	1	3	
