"УИК №1791"	"УИК №1792"	"УИК №1794"	"УИК №1795"	"УИК №1797"	"УИК №1798"	"УИК №1799"	"УИК №1800"	"УИК №1801"	"УИК №1802"	"УИК №1804"	"УИК №1805"	"УИК №1807"	"УИК №1808"	"УИК №1810"	"УИК №1812"	"УИК №1815"	"УИК №1817"	"УИК №1819"	"УИК №1820"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №1863"	"УИК №1864"	"УИК №1865"	"УИК №1866"	"УИК №1867"	"УИК №1868"	"УИК №1869"	"УИК №1871"	
1147	1597	1152	1152	1289	1199	1271	1028	995	506	1031	1032	1069	1094	1179	1218	1131	1250	652	1331	1252	660	798	1167	281	582	961	291	569	500	340	179	527	302	469	286	609	750	259	912	1224	794	438	392	451	462	387	90	544	226	300	470	823	393	635	1407	354	272	559	375	89	443	182	665	500	242	430	453	314	
1050	1550	1150	1100	1290	1190	1250	1020	980	480	1035	1020	1050	1090	1150	1220	1200	1250	645	1300	1250	660	800	1172	270	560	967	285	570	480	340	180	530	300	470	285	610	750	260	900	1224	790	430	390	420	465	390	91	530	220	300	460	810	395	630	1420	350	270	550	365	83	430	180	660	500	240	420	450	314	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
761	1084	694	742	860	778	776	636	568	326	640	646	693	715	769	803	700	902	403	933	951	588	736	980	267	539	787	267	502	451	304	165	413	219	388	231	526	695	229	865	895	721	359	354	398	322	353	87	481	209	265	397	762	352	547	1336	338	237	519	337	67	396	156	610	449	226	375	393	314	
93	7	16	40	23	34	56	41	49	11	47	46	23	29	13	21	27	57	18	9	38	41	22	97	0	14	46	10	40	25	19	5	37	23	37	26	23	18	13	14	20	16	27	16	22	131	26	3	20	7	22	26	20	25	60	23	4	21	13	19	16	25	17	22	30	3	17	38	0	
196	459	440	318	407	378	418	343	363	143	348	328	334	346	368	396	473	291	224	358	261	31	42	95	3	7	134	8	28	4	17	10	80	58	45	28	61	37	18	21	309	53	44	20	0	12	11	1	29	4	13	37	28	18	23	61	8	12	18	9	0	9	7	28	21	11	28	19	0	
93	7	16	40	23	34	56	41	49	11	47	46	23	29	13	21	27	57	18	9	38	41	22	97	0	14	46	10	40	25	19	5	37	23	37	26	23	18	13	14	20	16	27	16	22	131	26	3	20	7	22	26	20	25	60	23	4	21	13	19	16	25	17	22	30	3	17	38	0	
761	1084	694	742	860	778	776	636	568	326	640	646	693	715	756	803	700	902	403	933	951	588	736	980	267	539	787	267	502	451	304	165	413	219	388	231	526	695	229	865	895	721	359	354	398	322	353	87	481	209	265	397	762	352	547	1336	338	237	519	337	67	396	156	610	449	226	375	393	314	
13	21	13	9	7	19	16	10	12	5	13	0	8	9	10	0	6	15	3	17	15	0	2	13	1	0	9	0	1	1	1	0	10	0	2	1	5	3	0	9	14	5	0	0	0	0	0	0	2	0	0	4	0	1	0	6	10	0	6	4	0	0	0	2	0	0	0	1	0	
841	1070	697	773	876	793	816	667	605	332	674	692	708	735	759	824	721	944	418	925	974	629	756	1064	266	553	824	277	541	475	322	170	440	242	423	256	544	710	242	870	901	732	386	370	420	453	379	90	499	216	287	419	782	376	607	1353	332	258	526	352	83	421	173	630	479	229	392	430	314	
