"УИК №1872"	"УИК №1873"	"УИК №1874"	"УИК №1875"	"УИК №1876"	"УИК №1877"	"УИК №1878"	"УИК №1880"	"УИК №1882"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1895"	"УИК №1896"	"УИК №1897"	"УИК №1898"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	
332	150	429	116	566	277	778	727	1415	128	144	142	222	315	224	275	198	177	186	186	223	563	202	586	276	203	149	107	450	248	662	586	355	
315	145	450	124	520	280	853	829	1330	125	140	155	230	320	230	280	205	186	200	195	230	540	205	600	280	210	142	103	460	250	610	580	360	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
259	120	313	92	434	240	550	481	1124	101	91	99	179	265	155	199	165	133	159	161	175	382	143	528	174	163	103	91	325	194	395	455	278	
33	25	24	6	35	13	65	39	27	8	25	19	15	17	15	22	16	14	6	8	16	58	19	17	15	21	16	4	49	22	65	43	31	
23	0	113	26	51	27	238	309	179	16	24	37	36	38	60	59	24	39	35	26	39	100	43	55	91	26	23	8	86	34	150	82	51	
33	25	24	6	35	13	65	39	27	8	25	19	15	17	15	22	16	14	6	8	16	58	19	17	15	21	16	4	49	22	65	43	31	
259	120	313	92	434	240	550	481	1124	101	91	99	179	265	155	199	165	133	159	161	175	382	143	528	174	163	103	91	325	194	395	455	278	
3	0	7	0	0	9	43	5	0	0	0	3	1	0	1	0	0	0	2	0	0	6	0	0	4	0	0	1	0	0	6	5	4	
289	145	330	98	469	244	572	515	1151	109	116	115	193	282	169	221	181	147	163	169	191	434	162	545	185	184	119	94	374	216	454	493	305	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	5	1	1	1	7	0	4	0	0	1	0	0	3	2	1	0	1	0	0	4	0	0	1	1	1	0	1	0	7	1	1	
34	13	51	9	86	9	110	107	112	1	11	13	15	18	31	33	11	16	20	13	32	49	24	33	26	3	16	8	58	16	55	78	33	
5	0	17	11	35	12	36	23	27	9	7	4	0	10	1	4	4	4	14	3	10	16	15	21	33	1	4	0	11	8	48	13	4	
250	129	249	76	339	222	398	373	987	96	97	93	170	246	133	175	162	123	120	149	148	348	119	489	123	179	97	86	303	191	332	397	253	
0	1	4	0	6	0	5	6	10	0	0	0	1	3	0	2	0	2	3	3	0	5	2	1	1	0	1	0	0	0	2	0	7	
0	0	2	1	1	0	10	1	4	2	1	2	1	1	1	1	3	1	4	0	0	7	2	0	1	0	0	0	1	1	4	4	3	
0	1	1	0	0	0	3	5	6	0	0	0	0	3	0	2	0	1	1	0	1	4	0	0	0	0	0	0	0	0	3	0	2	
0	0	1	0	1	0	3	0	1	1	0	2	6	1	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	3	0	2	
