"УИК №1972"	"УИК №1973"	"УИК №1974"	"УИК №1975"	"УИК №1976"	"УИК №1977"	"УИК №1978"	"УИК №1979"	"УИК №1980"	"УИК №1981"	"УИК №1982"	"УИК №1983"	"УИК №1984"	"УИК №1985"	"УИК №1987"	"УИК №1988"	"УИК №1989"	"УИК №1990"	"УИК №1991"	"УИК №1992"	"УИК №1993"	"УИК №1994"	"УИК №1996"	"УИК №1997"	"УИК №1998"	"УИК №1999"	"УИК №2000"	"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	
96	142	189	88	331	46	61	47	121	184	306	53	69	487	423	2136	516	68	174	634	75	74	103	1346	97	375	115	112	143	31	55	164	204	129	118	1207	312	538	177	
100	140	192	86	334	47	63	59	125	189	309	53	73	482	436	2115	508	66	171	670	76	75	108	1500	94	391	120	113	169	33	56	167	200	129	118	1320	321	550	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83	130	165	84	267	46	53	46	99	177	236	45	69	454	350	1772	461	60	142	521	72	67	84	1185	91	316	108	99	143	31	54	139	172	104	91	961	284	462	146	
5	0	5	0	21	0	7	1	3	0	28	0	0	0	19	70	8	0	0	58	0	3	5	37	0	18	1	2	0	0	0	5	0	0	6	30	0	22	13	
12	10	22	2	46	1	3	12	23	12	45	8	4	28	67	273	39	6	29	91	4	5	19	278	3	57	11	12	26	2	2	23	28	25	21	329	37	66	21	
5	0	5	0	21	0	7	1	3	0	28	0	0	0	19	70	8	0	0	58	0	3	5	37	0	18	1	2	0	0	0	5	0	0	6	30	0	22	13	
83	130	165	84	267	46	53	46	99	177	236	45	69	454	350	1772	461	60	142	521	72	67	84	1185	91	316	108	99	143	31	54	139	172	104	91	961	284	462	146	
0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	9	1	0	0	1	0	0	0	10	0	0	0	1	0	0	0	0	1	0	0	16	1	9	0	
88	130	170	84	288	46	60	47	95	174	264	45	69	454	369	1833	468	60	142	578	72	70	89	1212	91	334	109	100	143	31	54	144	171	104	97	975	283	475	159	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	1	1	0	0	0	0	3	1	0	0	2	2	17	1	0	0	3	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	10	0	0	0	
11	7	10	1	23	2	0	1	18	9	18	4	2	36	37	240	30	5	18	50	1	5	7	158	9	20	17	6	15	2	0	22	15	12	0	149	11	91	18	
3	2	8	2	16	3	0	3	9	13	22	0	0	13	18	97	23	5	8	9	2	4	4	47	5	10	4	1	3	0	0	5	10	4	1	42	3	29	6	
72	117	147	80	245	41	59	41	67	143	220	40	67	398	297	1425	408	50	114	503	69	61	72	978	77	296	88	92	122	29	52	117	133	82	96	716	262	321	133	
1	1	2	0	0	0	0	0	0	0	1	0	0	0	4	27	0	0	1	3	0	0	1	12	0	0	0	1	0	0	2	0	8	1	0	19	0	2	2	
1	3	1	0	3	0	1	0	1	6	1	1	0	4	7	15	2	0	0	6	0	0	2	8	0	5	0	0	1	0	0	0	4	4	0	20	2	13	0	
0	0	1	0	0	0	0	2	0	0	1	0	0	0	3	6	1	0	0	4	0	0	3	4	0	2	0	0	1	0	0	0	0	0	0	16	3	15	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	3	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	3	2	4	0	
