"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2239"	"УИК №2240"	"УИК №2241"	"УИК №2242"	"УИК №2243"	"УИК №2244"	"УИК №2245"	"УИК №2246"	"УИК №2247"	"УИК №2248"	"УИК №2249"	"УИК №2250"	"УИК №2251"	"УИК №2252"	"УИК №2253"	"УИК №2254"	"УИК №2255"	"УИК №2256"	"УИК №2257"	"УИК №2258"	"УИК №2259"	"УИК №2260"	"УИК №2261"	"УИК №2262"	"УИК №2263"	"УИК №2264"	"УИК №2265"	"УИК №2266"	"УИК №2267"	"УИК №2268"	"УИК №3471"	
328	166	289	971	310	818	214	240	1483	2356	741	131	350	198	473	366	332	374	155	274	127	102	1170	409	227	394	422	315	195	104	283	96	171	283	379	353	264	514	176	191	155	253	408	216	309	323	387	
332	170	288	981	316	820	214	245	1491	2330	733	134	349	201	475	371	330	373	156	279	130	106	1183	413	230	402	419	316	197	108	283	97	173	285	380	351	261	515	175	191	159	254	407	219	310	326	387	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
275	133	249	823	270	646	165	197	1271	1955	659	119	279	175	410	337	270	331	132	224	105	86	947	358	184	325	353	273	172	84	231	87	159	260	323	300	216	447	153	166	130	222	369	173	272	273	338	
23	17	13	45	27	75	10	20	31	115	31	9	26	13	19	0	30	13	14	4	9	7	48	23	17	31	36	12	12	10	27	5	6	10	31	9	17	22	9	10	12	5	11	28	12	25	8	
34	20	26	113	19	99	39	28	189	260	43	6	44	13	46	34	30	29	10	51	16	13	188	32	29	46	30	31	13	14	25	5	8	15	26	42	28	46	13	15	17	27	27	18	26	28	41	
23	17	13	45	27	75	10	20	31	115	31	9	26	13	19	0	30	13	14	4	9	7	48	23	17	31	36	12	12	10	27	5	6	10	31	9	17	22	9	10	12	5	11	28	12	25	8	
275	133	249	823	270	646	165	197	1271	1955	659	119	279	175	410	337	270	331	132	224	105	86	947	358	184	325	353	273	172	84	231	87	159	260	323	300	216	447	153	166	130	222	369	173	272	273	338	
0	0	0	17	1	6	2	5	18	31	4	0	1	0	1	0	0	0	1	5	0	0	9	6	0	0	2	1	2	0	2	0	0	0	2	3	2	2	0	0	0	0	0	1	0	1	0	
298	150	262	851	296	715	173	212	1284	2039	686	128	304	188	428	337	300	344	145	223	114	93	986	375	201	356	387	284	182	94	256	92	165	270	352	306	231	467	162	176	142	227	380	200	284	297	346	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	6	2	6	0	0	7	9	6	0	1	0	3	0	1	1	1	0	0	1	2	2	2	1	1	1	1	1	1	0	0	0	1	1	1	3	0	0	1	2	0	0	0	2	2	
15	16	4	119	21	51	10	23	187	302	65	13	30	8	35	28	22	17	6	25	4	7	136	36	20	15	22	33	20	5	24	9	7	20	36	38	29	22	5	13	4	11	26	24	18	22	41	
17	2	20	21	17	42	2	7	22	95	39	3	14	5	15	13	9	29	6	6	7	7	50	18	14	23	11	8	8	7	15	7	15	16	12	6	3	22	11	3	3	11	25	6	16	13	10	
264	131	232	680	251	594	156	178	1041	1575	566	111	251	169	366	291	267	288	128	187	103	78	776	313	163	307	342	234	152	78	210	75	141	229	292	254	192	403	143	160	134	191	323	167	243	256	285	
1	0	2	1	0	7	3	1	10	22	5	1	3	1	2	3	0	1	3	2	0	0	6	1	1	8	4	0	1	0	3	1	1	3	5	3	2	5	0	0	0	5	3	1	1	2	2	
0	1	4	15	5	6	2	1	9	20	2	0	1	0	3	1	1	6	1	3	0	0	8	5	1	1	5	4	0	0	1	0	1	1	2	1	2	5	3	0	0	2	2	2	2	0	2	
0	0	0	6	0	4	0	0	3	6	2	0	0	2	1	1	0	1	0	0	0	0	4	0	0	0	2	0	0	1	1	0	0	1	3	2	1	3	0	0	0	2	1	0	0	0	1	
0	0	0	3	0	5	0	2	5	10	1	0	4	3	3	0	0	1	0	0	0	0	4	0	0	1	0	4	0	2	1	0	0	0	1	1	1	4	0	0	0	3	0	0	4	2	3	
