"УИК №2450"	"УИК №2451"	"УИК №2452"	"УИК №2453"	"УИК №2454"	"УИК №2455"	"УИК №2456"	"УИК №2457"	"УИК №2458"	"УИК №2459"	"УИК №2460"	"УИК №2461"	"УИК №2462"	"УИК №2463"	"УИК №2464"	"УИК №2465"	"УИК №2466"	"УИК №2467"	"УИК №2468"	"УИК №2469"	"УИК №2470"	"УИК №2471"	"УИК №2472"	"УИК №2473"	"УИК №2474"	"УИК №2475"	"УИК №2476"	"УИК №2477"	"УИК №2478"	"УИК №2479"	"УИК №2480"	"УИК №2481"	"УИК №2482"	"УИК №2483"	"УИК №2484"	"УИК №2485"	"УИК №2486"	"УИК №2487"	"УИК №2488"	"УИК №2489"	"УИК №2490"	"УИК №2491"	"УИК №2492"	"УИК №2493"	"УИК №2494"	"УИК №2495"	
900	1329	1125	1070	907	1290	1402	1428	677	190	187	246	92	428	307	458	190	296	539	295	360	350	343	105	362	374	502	104	381	486	666	324	631	58	275	106	126	545	291	153	440	251	1044	381	560	124	
854	1215	1088	1042	830	1213	1398	1323	680	192	185	241	89	430	310	460	191	299	535	298	360	351	345	107	360	376	504	105	383	480	668	315	630	59	273	108	128	540	293	154	435	253	1050	385	563	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
676	1017	812	806	676	868	1019	812	524	138	135	215	79	344	220	368	160	257	429	257	317	299	290	84	309	314	452	93	359	420	560	250	561	48	245	91	111	475	261	126	378	211	862	275	523	95	
44	22	10	18	31	25	11	22	50	16	11	10	9	59	29	39	20	16	20	9	11	21	25	8	38	27	9	7	9	29	15	30	36	9	11	8	7	21	10	15	23	18	62	46	0	13	
134	176	266	218	123	320	368	489	106	38	39	16	1	27	61	53	11	26	86	32	32	31	30	15	13	35	43	5	15	31	93	35	33	2	17	9	10	44	22	13	34	24	126	64	40	17	
44	22	10	18	31	25	11	22	50	16	11	10	9	59	29	39	20	16	20	9	11	21	25	8	38	27	9	7	9	29	15	30	36	9	11	8	7	21	10	15	23	18	62	46	0	13	
676	1017	812	806	676	868	1019	812	524	138	135	215	79	344	220	368	160	257	429	257	317	299	290	84	309	314	452	93	359	420	560	250	561	48	245	91	111	475	261	126	378	211	862	275	523	95	
9	9	25	21	4	9	10	19	5	0	0	0	0	3	3	22	0	0	3	2	0	6	3	0	0	1	4	0	2	5	0	2	3	0	0	0	0	3	0	0	0	0	6	8	0	0	
711	1030	797	803	703	884	1020	815	569	154	146	225	88	400	246	385	180	273	446	264	328	314	312	92	347	340	457	100	366	444	575	278	594	57	256	99	118	493	271	141	401	229	918	313	523	108	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	9	4	4	3	8	6	2	7	1	1	0	0	5	3	1	0	2	2	4	4	0	0	0	2	1	4	0	0	6	0	2	0	0	0	0	0	2	0	2	0	0	7	1	3	0	
102	265	113	164	50	131	146	137	85	15	19	4	2	34	21	6	13	14	23	8	17	36	13	12	22	11	15	7	14	28	46	39	30	2	13	4	10	21	14	4	28	2	108	40	56	3	
40	35	16	24	23	29	35	34	26	9	8	9	6	23	10	2	3	15	10	4	3	17	11	10	19	7	12	4	6	27	6	10	15	1	6	2	6	8	5	2	10	1	58	26	16	4	
540	696	647	591	616	691	799	614	436	125	115	211	79	327	209	368	162	237	404	240	295	256	279	67	298	313	415	89	342	376	521	212	537	54	223	92	100	445	245	128	360	226	713	240	440	99	
10	10	6	7	6	5	11	10	2	2	0	1	0	4	3	2	1	2	2	2	4	3	7	1	1	2	2	0	4	1	2	8	6	0	7	1	0	4	2	0	0	0	9	0	7	2	
5	10	8	4	3	12	10	2	7	1	0	0	1	3	0	1	1	2	0	2	1	0	0	1	0	2	2	0	0	4	0	3	3	0	6	0	0	2	4	2	0	0	14	1	0	0	
4	2	1	6	2	5	7	7	3	1	0	0	0	1	0	1	0	1	3	4	4	1	2	0	4	2	5	0	0	1	0	1	1	0	1	0	0	3	1	1	0	0	4	2	0	0	
4	3	2	3	0	3	6	9	3	0	3	0	0	3	0	4	0	0	2	0	0	1	0	1	1	2	2	0	0	1	0	3	2	0	0	0	2	8	0	2	3	0	5	3	1	0	
