"УИК №2850"	"УИК №2851"	"УИК №2852"	"УИК №2853"	"УИК №2854"	"УИК №2855"	"УИК №2856"	"УИК №2857"	"УИК №2858"	"УИК №2859"	"УИК №2860"	"УИК №2861"	"УИК №2862"	"УИК №2863"	"УИК №2864"	"УИК №2865"	"УИК №2866"	"УИК №2867"	"УИК №2869"	"УИК №2870"	"УИК №2871"	"УИК №2872"	"УИК №2873"	"УИК №2874"	"УИК №2875"	"УИК №2876"	"УИК №2877"	"УИК №2878"	"УИК №2879"	"УИК №2880"	"УИК №2881"	"УИК №2882"	"УИК №2883"	"УИК №2884"	"УИК №2885"	"УИК №2886"	"УИК №2887"	"УИК №2888"	"УИК №2889"	"УИК №2890"	"УИК №2891"	"УИК №2892"	"УИК №2893"	"УИК №2894"	"УИК №2895"	"УИК №2896"	"УИК №2897"	"УИК №2898"	"УИК №2899"	"УИК №2900"	"УИК №2901"	"УИК №2902"	"УИК №2903"	"УИК №2904"	"УИК №2905"	"УИК №2906"	"УИК №2907"	"УИК №2908"	"УИК №2909"	"УИК №2910"	"УИК №2911"	
529	237	275	261	211	729	441	213	234	119	634	641	288	676	483	490	537	587	1472	499	676	210	303	197	988	1078	324	516	481	227	573	393	742	246	192	237	287	1812	2024	318	2691	325	558	163	154	199	130	202	165	254	547	324	1430	554	309	371	661	629	346	420	272	
531	241	280	236	204	710	443	204	235	116	643	647	291	674	481	499	536	577	1460	497	682	205	304	194	998	1107	320	481	482	212	574	393	749	249	195	241	294	1600	1750	326	2300	331	534	151	154	197	133	197	169	252	546	362	1472	557	318	352	663	643	345	422	273	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
292	178	212	222	169	609	373	173	195	95	549	545	251	542	369	405	429	451	1122	365	473	156	242	151	757	726	255	425	348	182	463	293	646	210	168	186	239	911	1375	284	2288	280	436	146	142	171	125	183	127	212	449	257	1113	474	224	270	485	473	284	335	221	
32	24	30	4	27	20	20	5	4	4	36	46	20	32	42	22	23	49	80	61	65	34	37	13	23	35	8	19	41	7	40	23	34	18	7	9	17	24	38	20	12	13	28	3	11	13	0	5	22	15	43	35	22	44	45	28	40	70	17	23	9	
207	39	38	10	8	81	50	26	36	17	58	56	20	100	70	72	84	77	258	71	144	15	25	30	218	346	57	37	93	23	71	77	69	21	20	46	38	665	337	22	0	38	70	2	1	13	8	9	20	25	54	70	337	39	49	54	138	100	44	64	43	
32	24	30	4	27	20	20	5	4	4	36	46	20	32	42	22	23	49	80	61	65	34	37	13	23	35	8	19	41	7	40	23	34	18	7	9	17	24	38	20	12	13	28	3	11	13	0	5	22	15	43	35	22	44	45	28	40	70	17	23	9	
292	178	212	222	169	609	373	173	195	95	549	545	251	542	369	405	429	451	1122	365	473	156	242	151	757	726	255	425	348	182	463	293	646	210	168	186	239	911	1375	284	2288	280	436	146	142	171	125	183	127	212	449	257	1113	474	224	270	485	473	284	335	221	
12	0	0	1	0	0	0	0	1	2	0	0	0	0	3	0	2	0	11	0	3	0	0	0	21	9	0	0	5	0	3	3	7	0	0	3	0	15	19	0	0	0	0	3	0	0	0	1	0	1	0	0	13	0	0	2	7	15	2	2	3	
312	202	242	225	196	629	393	178	198	97	585	591	271	574	408	427	450	500	1191	426	535	190	279	164	759	752	263	444	384	189	500	313	673	228	175	192	256	920	1394	304	2300	293	464	146	153	184	125	187	149	226	492	292	1122	518	269	296	518	528	299	356	227	
