"УИК №2963"	"УИК №2964"	"УИК №2965"	"УИК №2966"	"УИК №2967"	"УИК №2968"	"УИК №2969"	"УИК №2970"	"УИК №2971"	"УИК №2972"	"УИК №2973"	"УИК №2974"	"УИК №2975"	"УИК №2976"	"УИК №2977"	"УИК №2978"	"УИК №2979"	"УИК №2980"	"УИК №2981"	"УИК №2982"	"УИК №2983"	"УИК №2984"	"УИК №2985"	"УИК №2986"	"УИК №2987"	"УИК №2988"	"УИК №2989"	"УИК №2990"	"УИК №2991"	"УИК №2992"	"УИК №2993"	"УИК №2994"	"УИК №2995"	"УИК №2996"	"УИК №2997"	"УИК №2998"	"УИК №2999"	"УИК №3000"	"УИК №3001"	"УИК №3002"	"УИК №3003"	"УИК №3004"	"УИК №3005"	"УИК №3006"	"УИК №3007"	"УИК №3008"	"УИК №3009"	"УИК №3010"	"УИК №3011"	"УИК №3012"	"УИК №3013"	"УИК №3014"	"УИК №3015"	"УИК №3016"	"УИК №3017"	"УИК №3018"	"УИК №3019"	"УИК №3020"	"УИК №3021"	"УИК №3022"	"УИК №3023"	"УИК №3024"	"УИК №3025"	"УИК №3026"	"УИК №3027"	"УИК №3028"	"УИК №3029"	"УИК №3030"	"УИК №3031"	"УИК №3032"	"УИК №3033"	"УИК №3034"	"УИК №3035"	"УИК №3036"	"УИК №3037"	"УИК №3038"	"УИК №3039"	"УИК №3040"	"УИК №3041"	"УИК №3042"	"УИК №3043"	"УИК №3044"	"УИК №3045"	
2764	1215	1347	1707	2747	1219	2459	2479	2287	1426	1118	1634	2487	2329	2252	2197	1587	1013	1209	1188	2563	2560	2635	1304	1247	2735	472	627	255	641	315	680	592	179	1101	1383	440	831	576	886	425	1930	2508	2097	1665	503	800	270	496	747	260	351	440	238	238	355	401	624	504	438	1246	1371	628	417	2190	2257	2862	1368	2061	1474	1821	500	200	157	257	155	273	825	600	1169	255	270	262	
2487	1146	1300	1559	2590	1134	2191	2335	2219	1321	1059	2279	2251	2450	2119	2103	1440	768	1187	1042	2250	2385	2572	1213	1189	2633	472	615	254	634	307	667	596	183	918	1299	412	845	558	881	412	1780	2410	2225	1676	505	715	256	511	751	258	338	415	221	245	347	394	592	494	434	1247	1343	624	410	1961	2213	2700	1306	1912	1449	1744	492	193	150	252	160	272	795	595	1162	246	277	253	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1499	961	693	963	2192	642	1314	1313	1396	823	672	1590	1806	1537	1305	1326	826	589	632	661	1280	1141	1530	753	701	1818	321	494	207	577	251	590	507	129	835	878	283	717	449	778	332	1083	1458	1107	941	283	459	210	357	652	226	275	350	197	198	310	351	488	394	373	1164	1278	378	270	1832	1978	1651	1119	1588	1243	1569	470	174	129	176	133	229	753	538	1059	219	201	162	
50	11	27	30	34	14	22	28	40	23	10	44	32	28	27	31	27	21	12	19	41	18	26	15	44	32	52	40	25	34	49	56	59	44	83	68	35	69	99	27	30	23	47	53	49	69	54	12	26	37	14	41	60	18	27	28	27	55	56	40	37	45	56	31	27	31	37	67	38	38	124	5	10	15	26	10	29	22	38	28	19	32	25	
938	174	580	566	363	478	855	993	783	475	377	645	409	885	787	746	587	158	543	362	929	1226	1016	445	444	783	99	81	22	23	7	21	30	10	0	353	94	59	10	76	50	674	905	1065	686	153	202	34	128	62	18	22	5	6	20	9	16	49	44	21	46	20	190	109	102	204	1012	120	286	168	51	17	9	6	50	17	14	20	19	75	8	44	66	
50	11	27	30	34	14	22	28	40	23	10	44	32	28	27	31	27	21	12	19	41	18	26	15	44	32	52	40	25	34	49	56	59	44	83	68	35	69	99	27	30	23	47	53	49	69	54	12	26	37	14	41	60	18	27	28	27	55	56	40	37	45	56	31	27	31	37	67	38	38	124	5	10	15	26	10	29	22	38	28	19	32	25	
1499	959	693	963	2192	629	1314	1313	1396	823	672	1590	1806	1537	1305	1326	826	589	632	661	1280	1136	1530	753	701	1815	321	494	207	577	251	590	507	129	835	878	283	717	449	778	332	1083	1458	1107	941	283	459	210	357	652	226	275	350	197	198	310	351	488	394	373	1164	1278	378	270	1832	1978	1651	1119	1588	1243	1569	470	174	129	176	133	229	753	538	1059	219	201	162	
11	6	7	22	36	0	16	23	24	8	7	19	17	62	9	13	10	3	12	0	18	26	23	16	8	19	1	0	0	1	0	0	0	0	0	5	1	14	2	36	17	20	17	22	23	4	6	0	1	15	1	0	0	0	0	0	4	0	2	4	0	0	7	0	17	22	31	9	17	0	6	1	0	2	1	0	0	0	0	0	0	0	0	
1538	964	713	971	2190	643	1320	1318	1412	838	675	1615	1821	1503	1323	1344	843	607	632	680	1303	1128	1533	752	737	1828	372	534	232	610	300	646	566	173	918	941	317	772	546	769	345	1086	1488	1138	967	348	507	222	382	674	239	316	410	215	225	338	374	543	448	409	1201	1323	427	301	1842	1987	1657	1177	1609	1281	1687	474	184	142	201	143	258	775	576	1087	238	233	187	
