"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №519"	"УИК №738"	"УИК №794"	"УИК №924"	"УИК №1240"	"УИК №1241"	
1071	1193	147	1428	1124	447	527	1159	1098	287	310	274	425	1014	1212	488	757	438	266	1765	1828	1567	1692	997	629	917	124	1211	1170	525	1386	566	1343	481	2471	1122	1650	621	1401	798	1782	1051	338	1611	2489	1655	2367	1979	1658	1224	883	1542	1890	1242	1719	2127	1653	1980	2434	667	324	707	1371	464	261	322	134	260	1234	1172	1655	1485	978	1507	1365	2010	1677	1612	2026	1188	1499	1518	676	1474	1658	1674	1888	1871	1113	1105	1319	1355	1175	1594	
1050	1150	154	1350	1050	440	480	1150	1100	265	310	270	450	1050	1150	480	740	390	260	1700	1800	1500	1600	1000	610	930	120	1050	1150	530	1350	600	1250	450	1920	1100	1500	600	1180	800	1600	1050	330	1500	2170	1500	2000	1750	1600	1150	830	1400	1750	1200	1600	2200	1500	1900	2200	600	325	700	1320	500	270	330	132	270	1200	1150	1500	1400	950	1450	1300	1850	1600	1500	1800	1100	1400	1500	660	1500	1650	1550	1800	1700	1050	1000	1200	1050	1050	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
656	618	123	776	651	321	236	759	701	208	242	221	290	679	674	341	586	315	166	1321	1339	993	1272	719	492	720	89	827	856	351	912	293	780	265	1574	698	1035	453	1063	392	1148	606	216	1150	1382	1182	1545	1215	1122	660	561	935	1309	548	1267	1522	1019	1293	1515	431	263	600	984	389	186	232	102	204	559	754	1001	782	667	787	741	1184	1034	1047	1075	601	1030	915	559	954	1129	1065	1218	1211	597	859	824	1020	650	1177	
65	120	14	97	102	36	56	70	130	54	41	30	68	134	199	79	65	51	58	97	65	33	107	85	102	95	13	41	46	134	232	183	89	93	121	102	45	70	32	129	18	155	71	118	117	123	69	71	113	150	89	114	132	232	68	93	82	34	77	80	28	96	97	32	44	58	25	43	130	135	141	167	78	142	112	50	48	46	92	78	50	94	22	56	29	31	54	31	95	36	89	18	22	30	
329	412	17	477	297	83	188	321	269	3	27	19	92	237	277	60	89	24	36	282	396	474	221	196	16	115	18	182	248	45	206	124	381	92	225	300	420	77	85	279	434	289	43	232	671	195	386	464	365	340	180	351	309	420	265	585	399	573	608	89	34	4	239	79	40	40	5	23	511	261	358	451	205	521	447	616	518	407	633	421	320	491	79	490	492	454	528	458	358	105	287	12	378	293	
65	120	14	97	102	36	56	70	130	54	41	30	68	134	199	79	65	51	58	97	65	33	107	85	102	95	13	41	46	134	232	183	89	93	121	102	45	70	32	129	18	155	71	118	117	123	69	71	113	150	89	114	132	232	68	93	82	34	77	80	28	96	97	32	44	58	25	43	130	135	141	167	78	142	112	50	48	46	92	78	50	94	22	56	29	31	54	31	95	36	89	18	22	30	
656	618	123	776	651	321	236	759	701	208	242	221	290	679	674	341	586	315	166	1321	1339	993	1272	719	492	720	89	827	856	351	912	293	780	265	1574	698	1035	453	1063	392	1148	606	216	1150	1382	1182	1544	1215	1122	659	561	935	1309	548	1267	1522	1019	1293	1515	431	263	600	984	389	186	232	102	204	559	754	1001	782	667	787	741	1184	1034	1047	1075	601	1030	915	559	954	1129	1065	1218	1211	597	859	824	1020	650	1177	
7	10	1	6	8	2	3	6	9	3	1	3	3	4	22	5	6	2	2	11	20	7	13	3	0	7	0	6	3	0	14	3	9	6	27	14	9	11	28	3	13	10	6	11	24	9	23	13	12	10	7	13	7	7	13	11	7	4	12	9	5	4	11	1	0	1	0	0	8	13	15	2	2	15	17	21	11	15	10	7	8	10	10	10	14	16	16	13	10	4	7	9	4	13	
714	728	136	867	745	355	289	823	822	259	282	248	355	809	851	415	645	364	222	1407	1384	1019	1366	801	594	808	102	862	899	485	1130	473	860	352	1668	786	1071	512	1067	518	1153	751	281	1257	1475	1296	1590	1273	1223	799	643	1036	1434	773	1322	1604	1094	1323	1580	502	286	692	1070	420	230	289	127	247	681	876	1127	947	743	914	836	1213	1071	1078	1157	672	1072	999	571	1000	1144	1080	1256	1229	682	891	906	1029	668	1194	
