"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №1121"	"УИК №1122"	"УИК №1123"	
1908	2958	2917	1562	1679	1618	2052	1988	1962	789	2794	1953	1663	1717	1744	1400	1685	1220	1783	2266	1979	2055	2070	2699	2597	1861	1832	1015	1595	1794	1787	1633	2751	2030	2127	2216	2315	2401	2076	2415	2924	2641	2734	2147	1808	2970	2053	1209	2478	305	1919	95	
1850	2600	2500	1200	1400	1300	1500	1600	1700	600	2500	1500	1400	1400	1400	1200	1400	900	1500	2000	1700	1700	2100	2600	2400	1800	1700	800	1300	1700	1500	1300	2400	1800	1900	2100	2100	2200	1900	2100	2600	2550	2400	1800	1600	2600	1700	1000	2100	310	2000	95	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1547	1890	1869	1065	1084	884	1310	1375	1199	472	1684	1198	1110	1076	1113	966	970	701	948	1400	1231	1339	1385	1858	1574	1205	960	662	1097	1146	1072	944	1732	1256	1287	1406	1456	1562	1353	1569	1861	1660	1681	1240	1100	1736	1202	808	1658	305	1393	85	
239	55	93	90	63	90	99	59	61	126	25	41	116	57	40	35	180	43	80	109	127	136	251	59	41	64	73	27	50	76	59	48	37	55	63	44	26	24	155	36	53	249	26	100	72	208	57	26	246	0	425	9	
64	655	538	45	253	326	91	166	440	2	791	261	174	267	247	199	250	156	472	491	342	225	464	683	785	531	667	111	153	478	369	308	631	489	550	650	618	614	392	495	686	641	693	460	428	656	441	166	196	5	182	1	
239	55	93	90	63	90	99	59	61	126	25	41	116	57	40	35	180	43	80	109	127	136	251	59	41	64	73	27	50	76	59	48	37	55	63	44	26	24	155	36	53	249	26	100	72	208	57	26	246	0	425	9	
1547	1890	1869	1065	1084	884	1307	1375	1199	472	1684	1196	1110	1076	1113	965	968	701	948	1400	1228	1339	1385	1858	1574	1205	960	662	1097	1146	1072	944	1732	1256	1287	1406	1456	1562	1353	1569	1861	1660	1681	1240	1100	1736	1202	808	1658	305	1392	85	
48	14	17	0	17	13	29	19	7	0	19	20	16	11	16	21	12	10	9	15	17	32	17	24	15	12	3	7	22	9	14	14	22	15	9	23	23	15	15	23	23	17	16	7	8	17	19	7	19	6	32	1	
1738	1931	1945	1155	1130	961	1377	1415	1253	598	1690	1217	1210	1122	1137	979	1136	734	1019	1494	1338	1443	1619	1893	1600	1257	1030	682	1125	1213	1117	978	1747	1296	1341	1427	1459	1571	1493	1582	1891	1892	1691	1333	1164	1927	1240	827	1885	299	1785	93	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	19	11	13	5	12	8	10	10	0	18	11	18	9	11	13	15	4	15	14	19	12	17	29	16	16	7	6	14	10	8	9	23	20	21	8	13	13	12	10	20	17	8	11	7	16	10	2	23	1	15	0	
234	254	235	118	138	106	188	175	171	17	226	204	167	144	156	151	155	86	138	167	147	186	176	271	272	151	126	114	151	154	157	137	222	182	153	182	170	160	181	176	232	228	220	172	168	244	129	97	179	6	136	7	
99	86	98	59	46	67	79	53	61	19	68	57	57	57	63	51	60	47	67	94	69	81	77	71	69	59	55	43	68	77	59	59	98	75	76	63	99	96	63	89	110	107	72	74	50	97	90	48	95	56	79	6	
1270	1449	1469	911	875	740	1035	1110	939	547	1292	864	901	855	835	698	826	551	745	1139	1027	1087	1264	1407	1151	976	791	477	828	918	835	725	1306	963	1036	1121	1112	1215	1185	1236	1454	1443	1306	1018	891	1492	973	645	1526	187	1501	77	
83	62	70	20	32	17	23	21	33	0	31	41	26	22	24	27	41	25	33	37	29	41	34	54	39	21	25	16	34	27	29	21	43	24	26	32	31	39	16	31	36	42	37	22	19	38	15	13	19	40	23	1	
4	9	19	12	8	4	12	14	7	0	6	14	8	13	4	3	11	4	9	10	10	7	17	8	17	9	7	8	10	10	9	6	8	8	11	4	6	11	8	14	7	13	13	16	13	15	6	9	21	1	7	1	
15	31	28	8	9	8	13	10	11	0	26	15	12	10	20	15	10	9	6	11	16	14	16	31	21	12	10	9	13	6	11	13	28	14	10	5	17	18	7	10	18	23	15	12	11	10	8	6	13	6	13	0	
24	21	15	14	17	7	19	22	21	15	23	11	21	12	24	21	18	8	6	22	21	15	18	22	15	13	9	9	7	11	9	8	19	10	8	12	11	19	21	16	14	19	20	8	5	15	9	7	9	2	11	1	
