"УИК №544"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	
533	984	522	544	926	961	820	752	1181	468	342	358	201	220	126	176	157	457	285	351	212	269	377	160	836	230	135	123	238	
550	990	530	545	950	1000	845	690	1185	470	350	355	200	225	125	175	165	460	290	350	210	265	380	150	845	235	135	120	235	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
452	620	451	431	821	622	722	624	798	338	244	312	132	97	90	141	117	324	149	262	132	183	263	127	628	147	94	98	161	
23	44	24	55	29	49	54	51	148	70	30	17	22	86	22	9	22	82	40	63	16	40	45	9	51	33	11	16	39	
75	326	55	59	100	329	69	15	239	62	76	26	46	42	13	25	26	54	101	25	62	42	72	14	166	55	30	6	35	
23	44	24	55	29	49	54	51	148	70	30	17	22	86	22	9	22	82	40	63	16	40	45	9	51	33	11	16	39	
452	620	451	431	821	622	722	624	798	338	244	312	132	97	90	141	117	324	149	262	132	183	263	127	628	147	94	98	161	
3	4	9	12	10	4	8	1	8	3	0	3	1	0	0	2	0	0	3	3	3	0	0	0	4	0	0	0	1	
472	660	466	474	840	667	768	674	938	405	274	326	153	183	112	148	139	406	186	322	145	223	308	136	675	180	105	114	199	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	1	1	2	4	5	1	7	0	0	0	2	0	0	1	0	0	0	2	1	2	4	0	5	1	0	0	2	
60	73	53	77	103	133	74	73	123	58	45	16	20	12	10	11	4	26	25	25	11	37	32	13	78	14	3	6	16	
16	34	23	15	33	39	27	21	60	21	19	8	15	8	4	6	7	28	10	11	7	18	15	15	30	5	8	3	7	
389	532	384	375	697	476	654	573	729	325	208	298	116	162	96	127	128	347	148	274	124	162	255	107	556	160	92	102	171	
0	7	2	1	0	2	1	2	8	1	1	3	0	0	1	0	0	3	1	4	2	2	1	0	1	0	1	1	0	
5	6	1	3	3	3	3	1	7	0	0	1	0	1	1	3	0	2	1	2	0	1	0	1	2	0	1	2	1	
0	3	2	2	2	9	3	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	
0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	1	
