"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	
256	512	638	165	357	111	153	176	340	723	238	312	42	121	67	370	239	1229	764	170	869	339	477	153	986	983	1070	920	738	348	451	178	392	721	59	
260	450	500	160	350	100	150	170	320	600	200	280	44	120	60	350	220	950	650	235	800	350	400	140	800	750	800	750	650	350	400	200	350	650	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	
179	260	322	113	149	73	77	102	217	411	131	155	23	87	48	177	91	673	380	107	362	193	278	112	576	489	608	496	432	241	303	137	251	421	46	
7	18	24	4	16	8	11	8	31	36	25	6	3	6	0	8	17	37	18	14	31	24	10	0	19	88	26	1	12	26	13	4	23	13	0	
74	172	154	43	185	19	62	60	72	153	44	119	18	27	12	165	112	240	252	114	407	133	112	28	205	173	166	253	200	83	84	59	76	216	54	
7	18	24	4	16	8	11	8	31	36	25	6	3	6	0	8	17	37	18	14	31	24	10	0	19	88	26	1	18	26	13	4	23	13	0	
179	260	322	113	149	73	77	102	217	411	131	155	23	87	48	177	91	673	380	107	362	193	278	112	576	489	608	496	432	241	303	137	251	421	46	
3	1	6	3	2	2	0	2	0	10	0	1	0	0	0	4	1	20	3	1	7	2	7	3	12	12	11	12	7	3	5	2	4	7	0	
183	277	340	114	163	79	88	108	248	437	156	160	26	93	48	181	107	690	395	120	386	215	281	109	583	565	623	485	443	264	311	139	270	427	46	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	1	0	0	1	1	1	1	1	0	1	2	0	0	1	0	0	0	1	0	0	1	1	2	2	1	4	1	1	2	4	1	
15	47	59	11	18	10	11	12	17	59	28	18	4	16	4	58	18	162	111	13	30	16	40	21	112	132	105	140	114	11	64	18	57	76	7	
0	4	11	2	5	10	4	4	16	25	10	2	0	3	1	2	1	20	20	15	4	6	9	1	32	20	21	14	5	13	9	10	2	20	1	
167	218	264	93	133	58	73	90	210	350	112	135	19	73	40	118	88	492	258	91	346	184	228	86	419	396	477	319	309	234	231	103	205	312	35	
0	6	2	5	5	1	0	1	2	1	0	3	0	0	1	3	0	8	4	1	3	3	3	1	9	9	8	6	7	0	3	0	3	10	1	
1	1	2	0	1	0	0	0	0	0	2	1	1	0	0	0	0	1	1	0	2	5	0	0	4	5	3	0	2	1	2	0	0	3	0	
0	1	1	2	0	0	0	0	1	0	2	0	1	0	0	0	0	2	0	0	1	0	1	0	2	0	4	1	5	1	1	1	0	0	1	
0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	4	1	0	0	0	0	0	4	2	3	3	0	0	0	6	1	2	0	
