"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №442"	"УИК №443"	"УИК №444"	
1599	1703	2535	2270	2625	2414	2514	2101	2926	2225	2281	2346	2010	2158	2205	2168	2449	1387	
1602	1683	2401	2156	2625	2366	2462	2101	2464	2225	2281	2229	2012	2145	2190	2130	2375	1387	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1433	1575	1161	1905	1216	2256	2307	2000	987	2149	2179	2152	1877	2077	2120	2004	1022	1291	
7	0	0	8	0	8	7	9	13	7	30	9	8	10	11	0	9	7	
162	108	1240	243	1409	102	148	92	1470	69	72	68	127	58	59	126	1344	89	
7	0	0	8	0	8	7	9	13	7	30	9	8	10	11	0	9	7	
1433	1575	1161	1905	1216	2256	2307	2000	974	2149	2179	2152	1877	2077	2120	2004	1022	1291	
14	41	37	1	1	3	1	2	38	2	1	2	57	2	1	28	39	1	
1426	1534	1124	1912	1215	2261	2313	2007	949	2154	2208	2159	1828	2085	2130	1976	992	1297	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	

4	27	5	25	8	20	24	18	3	32	32	25	6	14	34	18	5	9	
120	219	313	103	279	60	97	49	280	78	60	88	297	89	62	188	245	71	
6	14	7	1	10	4	0	2	8	0	5	6	25	1	2	46	9	4	
1270	1145	707	1708	827	2127	2136	1877	594	1960	2055	1974	1406	1938	1965	1517	651	1141	
18	88	51	4	50	2	1	2	29	5	1	9	55	3	5	123	44	9	
0	5	3	24	8	12	14	10	6	20	24	18	7	11	17	32	9	17	
1	5	5	32	8	25	18	22	5	35	14	25	6	20	24	24	2	32	
7	31	33	15	25	11	23	27	24	24	17	14	26	9	21	28	27	14	
