"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №449"	"УИК №461"	
945	1671	1802	2369	2302	1724	2633	1868	2139	2750	2595	2598	2067	994	1534	1577	1597	2147	2131	2102	1685	1197	2622	2900	1354	1430	2171	
920	1629	1756	2308	2243	1680	2566	1817	2084	2679	2529	2531	2014	967	1495	1537	1555	2092	2077	2048	1642	1167	2555	2825	1320	1393	2171	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
889	1602	1740	2270	2198	1654	2541	1792	2061	2642	2484	2453	1985	953	1478	1519	1529	2070	2038	2019	1622	1140	2429	2773	1247	1376	2151	
24	9	2	12	13	10	10	11	3	4	7	40	14	3	5	7	18	3	5	5	4	14	104	18	63	9	20	
7	18	14	26	32	16	15	14	20	33	38	38	15	11	12	11	8	19	34	24	16	13	22	34	10	8	0	
24	9	2	12	13	10	10	11	3	4	7	40	14	3	5	7	18	3	5	5	4	14	104	18	63	9	20	
889	1602	1740	2270	2198	1654	2541	1792	2061	2642	2484	2453	1985	953	1478	1519	1529	2070	2038	2019	1622	1140	2429	2773	1247	1376	2151	
1	2	2	3	3	2	3	2	2	3	3	4	2	1	2	0	1	2	2	2	1	3	2	3	1	2	0	
912	1609	1740	2279	2208	1662	2548	1801	2062	2643	2488	2489	1997	955	1481	1526	1546	2071	2041	2022	1625	1151	2531	2788	1309	1383	2171	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	17	4	29	17	34	37	19	27	39	34	17	2	27	56	1	34	17	22	0	19	39	27	10	27	22	1	
2	3	6	14	12	21	37	17	23	97	24	19	92	24	34	2	23	37	71	2	99	66	38	17	20	17	3	
2	2	2	3	2	1	2	2	3	2	1	2	3	4	2	1	2	1	3	2	5	2	2	3	2	2	1	
857	1521	1651	2068	2053	1539	2331	1715	1951	2447	2400	2415	1863	836	1368	1519	1450	1999	1912	2011	1475	1021	2432	2727	1239	1320	2159	
16	24	9	5	6	7	17	11	27	2	6	7	2	7	6	2	3	7	2	1	7	9	2	2	1	3	0	
2	1	2	1	4	2	3	2	1	6	4	2	5	6	2	1	8	4	6	3	2	8	9	7	9	4	1	
4	3	1	3	2	24	23	2	9	26	5	11	21	34	1	0	17	2	19	3	4	2	8	7	9	14	3	
22	38	65	156	112	34	98	33	21	24	14	16	9	17	12	0	9	4	6	0	14	4	13	15	2	1	3	
