"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	
215	33	115	258	70	50	52	41	124	33	361	370	191	
212	33	114	255	70	50	52	41	123	33	359	369	189	
0	0	0	0	0	0	0	0	0	0	0	0	0	
174	25	88	219	60	44	43	31	105	21	339	320	170	
2	0	1	5	1	1	2	1	4	0	7	9	6	
36	8	25	31	9	5	7	9	14	12	13	40	13	
2	0	1	5	1	1	2	1	4	0	7	9	6	
174	25	88	219	60	44	43	31	105	21	339	320	170	
1	0	1	1	1	1	0	1	1	0	1	1	1	
175	25	88	223	60	44	45	31	108	21	345	328	175	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	2	3	1	1	1	1	1	0	1	2	0	
9	7	2	8	3	5	5	4	3	6	3	2	3	
1	0	0	1	0	0	0	0	0	0	1	0	0	
155	6	76	198	45	27	32	15	91	8	326	312	164	
0	2	1	1	1	2	1	1	2	1	1	2	1	
2	1	2	3	1	2	2	1	2	1	3	1	2	
3	2	1	6	2	3	1	1	2	3	4	5	3	
3	6	4	3	7	4	3	8	7	2	6	4	2	
