"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2239"	"УИК №2240"	
1444	1440	332	831	319	465	708	309	413	84	425	125	163	793	346	217	686	142	105	587	742	191	266	937	359	775	316	725	107	122	120	90	67	1057	1325	223	
1500	1500	350	850	300	550	850	350	440	90	400	100	150	800	350	200	900	150	100	650	950	170	250	1000	350	800	300	750	120	130	100	90	60	1100	1450	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
833	877	225	520	150	217	527	140	240	61	317	91	134	430	113	105	496	93	77	463	542	92	142	602	243	531	165	357	57	92	71	67	41	661	817	71	
86	52	8	87	80	165	63	141	19	2	30	6	13	50	79	35	82	13	5	92	39	77	68	60	21	62	52	53	4	2	6	3	0	75	46	106	
581	571	117	243	70	168	260	69	181	27	53	3	3	320	158	60	322	44	18	95	369	1	40	338	86	207	83	340	59	36	23	20	19	364	587	23	
86	52	8	87	80	165	63	141	19	2	30	6	13	50	79	35	82	13	5	92	39	77	68	60	21	62	52	53	4	2	6	3	0	75	46	106	
833	876	225	520	150	217	522	140	240	61	317	91	134	430	113	105	496	93	77	463	542	92	142	602	243	531	165	357	57	92	71	67	41	661	817	71	
15	14	3	5	1	1	0	0	8	0	4	1	0	6	3	3	17	0	0	1	11	0	1	9	1	2	0	5	0	0	0	2	1	0	11	1	
904	914	230	602	229	381	585	281	251	63	343	96	147	474	189	137	561	106	82	554	570	169	209	653	263	591	217	405	61	94	77	68	40	736	852	176	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	3	0	4	1	1	6	3	1	0	1	2	0	2	1	2	5	0	0	1	0	0	1	0	2	7	0	0	0	0	0	1	0	2	5	0	
184	129	34	52	10	16	65	16	27	3	68	4	12	51	11	15	64	20	5	67	120	10	13	71	29	66	14	45	5	6	11	13	3	136	133	11	
40	74	21	29	5	17	59	12	12	2	12	8	7	35	13	8	39	7	8	15	20	3	9	55	25	29	17	15	2	0	8	3	2	32	50	6	
648	681	170	512	208	340	444	243	209	58	257	79	127	372	161	109	446	79	65	463	426	154	183	505	202	476	186	340	51	87	58	49	35	550	653	157	
13	6	2	1	0	6	4	2	0	0	1	2	0	5	3	1	3	0	0	2	3	0	1	10	2	6	0	2	0	1	0	1	0	5	4	1	
4	10	3	3	4	0	5	3	2	0	2	0	1	5	0	1	3	0	1	5	0	1	2	8	0	3	0	3	1	0	0	1	0	3	3	0	
4	5	0	1	1	0	1	1	0	0	2	0	0	2	0	1	1	0	0	1	0	0	0	2	2	3	0	0	1	0	0	0	0	5	2	0	
1	6	0	0	0	1	1	1	0	0	0	1	0	2	0	0	0	0	3	0	1	1	0	2	1	1	0	0	1	0	0	0	0	3	2	1	
