"УИК №2167"	"УИК №2168"	"УИК №2169"	"УИК №2170"	"УИК №2171"	"УИК №2172"	"УИК №2173"	"УИК №2174"	"УИК №2175"	"УИК №2176"	"УИК №2177"	"УИК №2178"	"УИК №2179"	"УИК №2180"	"УИК №2181"	"УИК №2182"	"УИК №2183"	"УИК №2184"	"УИК №2185"	"УИК №2186"	"УИК №2187"	"УИК №2188"	"УИК №2189"	"УИК №2190"	"УИК №2191"	"УИК №2192"	"УИК №2193"	"УИК №2194"	"УИК №2195"	"УИК №2196"	"УИК №2197"	"УИК №2246"	"УИК №2247"	"УИК №2248"	"УИК №2278"	"УИК №2279"	"УИК №2294"	
1440	1275	1351	1321	1338	642	1007	150	563	125	1357	154	614	1068	689	807	708	207	1113	704	728	1116	216	344	365	1206	131	529	361	365	574	658	206	99	152	130	161	
1430	1270	1360	1300	1330	640	1020	150	700	125	1400	160	625	1090	690	810	710	210	1050	710	740	1140	215	350	360	1210	125	540	370	370	600	660	210	110	155	125	155	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
904	856	910	835	840	482	675	113	384	108	772	130	450	753	554	646	469	149	820	472	516	744	135	251	285	746	98	406	246	269	490	540	136	53	131	100	115	
76	49	23	41	65	8	37	9	3	6	92	9	25	62	37	50	27	11	28	47	48	82	17	26	30	37	8	30	14	14	35	32	15	17	0	9	14	
450	365	427	424	425	150	308	28	313	11	536	21	150	275	99	114	214	50	202	191	176	314	63	73	45	427	19	104	110	87	75	88	59	40	24	16	26	
76	49	23	41	65	8	37	9	3	6	92	9	25	62	37	50	27	11	28	47	48	82	17	26	30	37	8	30	14	14	35	32	15	17	0	9	14	
904	856	910	835	840	482	675	113	384	108	772	130	450	753	554	646	469	149	820	472	516	744	135	251	285	746	98	406	246	269	490	540	136	53	131	100	115	
11	16	15	10	16	16	13	1	3	1	14	1	2	12	9	8	7	2	10	4	3	11	0	4	4	7	1	0	4	1	2	4	0	0	0	0	2	
969	889	918	866	889	474	699	121	384	113	850	138	473	803	582	688	489	158	838	515	561	815	152	273	311	776	105	436	256	282	523	568	151	70	131	109	127	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	4	6	8	1	11	0	3	2	5	0	1	3	2	2	2	0	3	2	1	3	1	3	0	1	0	3	2	0	2	3	1	0	0	0	0	
163	160	163	134	139	56	133	6	33	17	98	2	44	128	75	82	140	22	95	77	91	131	29	46	15	133	13	30	17	25	37	32	23	9	4	2	10	
79	77	73	93	92	37	49	10	49	8	68	5	52	61	36	34	34	24	49	33	46	46	9	12	16	60	4	16	23	19	43	41	18	16	6	10	5	
692	627	653	603	632	369	492	104	283	86	664	129	366	598	462	558	304	108	669	396	405	621	109	208	277	567	88	380	206	236	432	486	102	45	120	97	109	
11	5	9	16	8	5	3	0	10	0	4	0	1	6	1	4	1	0	9	2	11	7	0	1	2	2	0	1	3	1	1	1	5	0	0	0	1	
4	10	7	10	1	3	7	0	1	0	5	0	5	5	2	3	2	2	4	2	4	4	0	1	0	5	0	2	4	0	0	1	1	0	0	0	0	
7	2	6	2	5	1	2	0	2	0	3	2	2	1	3	2	2	1	4	3	1	2	1	1	1	2	0	2	0	0	5	3	0	0	0	0	1	
10	4	3	2	4	2	2	1	3	0	3	0	2	1	1	3	4	1	5	0	2	1	3	1	0	6	0	2	1	1	3	1	1	0	1	0	1	
