"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	
686	741	1106	908	677	521	712	599	769	360	205	225	501	245	346	635	365	568	162	164	999	601	240	149	284	538	275	183	320	222	182	
741	822	1182	952	790	639	775	689	1021	416	234	276	559	270	421	692	405	656	204	207	1214	703	295	148	273	638	302	221	409	222	211	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
571	575	889	695	512	425	531	448	681	312	188	175	412	207	308	587	322	482	143	137	872	512	207	131	258	465	235	156	290	188	157	
40	70	90	84	50	60	88	142	87	46	17	49	86	36	32	37	29	86	18	26	90	83	28	16	15	60	26	18	30	32	25	
130	177	203	173	228	154	156	99	253	58	29	52	61	27	81	68	54	88	43	44	252	108	60	1	0	113	41	47	89	2	29	
40	70	90	84	50	60	88	142	87	46	17	49	86	36	32	37	29	86	18	26	90	83	28	16	15	60	26	18	30	32	25	
571	574	889	695	512	425	531	448	681	312	188	175	412	207	308	587	322	482	143	137	872	512	207	131	258	465	235	156	290	188	157	
9	15	19	8	6	5	0	8	13	33	15	9	11	3	46	6	6	3	5	18	12	0	1	2	6	8	3	2	16	6	0	
602	629	960	771	556	480	619	582	755	325	190	215	487	240	294	618	345	565	156	145	950	595	234	145	267	517	258	172	304	214	182	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	5	4	3	3	2	4	1	1	0	0	1	0	0	3	2	0	0	0	5	3	0	3	0	1	1	0	2	0	1	
84	97	141	124	55	51	77	43	118	12	11	12	69	14	10	67	38	46	7	6	123	46	24	31	32	57	19	7	33	19	23	
38	45	63	41	37	32	33	20	38	5	17	9	28	10	8	31	20	0	5	4	55	29	16	5	29	35	15	9	8	6	13	
463	463	731	587	441	383	494	508	585	302	156	192	381	210	275	507	276	517	143	135	750	506	187	104	202	417	217	153	256	186	135	
7	3	7	7	7	3	4	1	6	3	5	1	3	0	1	6	2	0	0	0	7	5	5	0	0	2	2	2	0	2	7	
2	7	7	4	9	1	1	4	5	1	1	1	2	3	0	1	4	2	1	0	8	4	0	0	4	4	3	1	3	1	1	
2	5	4	1	4	3	7	1	1	1	0	0	1	3	0	1	2	0	0	0	1	1	1	1	0	1	1	0	0	0	1	
3	3	2	3	0	4	1	1	1	0	0	0	2	0	0	2	1	0	0	0	1	1	1	1	0	0	0	0	2	0	1	
