"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	"УИК №2339"	"УИК №2340"	"УИК №2341"	
1168	1682	1562	1923	751	383	261	457	246	351	459	346	232	397	455	233	264	151	158	285	260	417	657	583	645	435	249	168	238	415	218	314	399	319	591	279	700	397	255	422	316	
1200	1800	1600	2000	770	410	290	560	280	420	520	370	240	440	470	250	260	140	180	300	300	500	750	600	780	500	270	200	270	480	240	380	430	350	640	320	750	380	250	470	340	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
879	1326	1205	1494	554	330	209	369	181	293	336	276	186	317	363	171	211	119	130	222	189	337	582	495	458	343	180	130	204	344	181	255	353	258	491	247	525	289	206	328	240	
38	57	52	56	48	22	26	66	40	34	81	39	21	46	61	27	33	18	14	39	42	48	57	38	78	49	47	25	19	36	19	30	20	39	50	23	79	42	27	52	51	
283	417	343	450	168	58	55	125	59	93	103	55	33	77	46	52	16	3	36	39	69	115	111	67	244	108	43	45	47	100	40	95	57	53	99	50	146	49	17	90	49	
38	57	52	56	48	22	26	66	40	34	81	39	21	46	61	27	33	18	14	39	42	48	57	38	78	49	47	25	19	36	19	30	20	39	50	23	79	42	27	52	51	
879	1326	1205	1494	554	330	209	369	181	293	336	276	186	317	363	171	211	119	130	222	189	337	582	495	458	343	180	130	204	344	181	255	353	258	491	247	525	289	206	328	240	
18	17	26	24	7	4	3	4	1	4	1	0	2	6	7	1	2	1	0	6	1	6	10	5	5	4	5	0	3	0	2	7	2	10	2	0	13	5	4	4	4	
899	1366	1231	1526	595	348	232	431	220	323	416	315	205	357	417	197	242	136	144	255	230	379	629	528	531	388	222	155	220	380	198	278	371	287	539	270	591	326	229	376	287	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	9	13	11	2	0	1	2	1	2	3	1	1	1	2	0	1	0	0	1	1	3	4	3	3	1	2	0	1	3	2	4	2	2	5	2	1	4	1	0	0	
120	198	159	203	70	22	17	12	18	18	15	22	11	33	46	11	15	11	10	43	23	39	86	52	60	34	15	12	30	35	33	12	94	32	66	14	66	41	28	63	17	
70	96	125	113	38	27	30	38	23	15	22	21	6	23	18	12	9	12	12	17	12	13	30	10	52	27	12	6	6	14	9	23	24	22	30	12	44	26	17	16	25	
685	1023	901	1140	473	289	177	368	175	287	367	264	183	292	344	172	209	111	116	190	189	321	495	450	404	321	184	133	183	320	151	232	239	222	426	238	462	246	177	292	241	
8	15	17	27	7	1	4	6	2	0	3	2	1	1	4	2	1	2	3	3	2	2	3	6	9	1	3	0	0	3	1	2	6	3	6	2	5	0	0	1	3	
4	12	8	12	1	7	0	4	0	1	4	3	3	4	2	0	5	0	1	1	3	1	4	3	3	4	4	3	0	2	1	3	3	5	3	1	7	2	4	3	0	
1	7	1	13	4	1	1	0	1	0	2	0	0	2	1	0	0	0	2	0	0	0	4	4	0	0	1	0	0	3	1	1	2	1	2	0	3	2	0	1	1	
3	6	7	7	0	1	2	1	0	0	0	2	0	1	0	0	2	0	0	0	0	0	3	0	0	0	1	1	0	0	0	1	1	0	1	1	3	5	2	0	0	
