"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	
1503	1816	544	85	165	174	2000	1842	1725	1633	1363	786	390	1174	1690	224	1047	1543	2510	1799	2335	2519	2782	1381	441	588	
1400	1700	520	70	150	170	1900	1700	1600	1700	1300	750	400	1100	1500	220	1000	1500	2300	1700	2200	2400	2700	1300	430	570	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1250	1690	464	58	130	112	1797	1669	1578	1630	1244	578	213	1004	613	135	966	1310	2130	1666	2004	2260	2602	1256	295	522	
35	10	6	4	0	0	14	5	12	3	10	26	26	62	45	0	16	60	29	25	8	31	0	28	34	12	
115	0	50	8	20	58	89	26	10	67	46	146	161	34	842	85	18	130	141	9	188	109	98	16	101	36	
35	10	6	4	0	0	14	5	11	3	10	26	26	62	45	0	16	60	29	25	8	31	0	28	34	12	
1250	1690	464	58	130	112	1797	1669	1578	1630	1244	578	213	1004	605	135	966	1310	2130	1666	2004	2260	2602	1256	295	522	
2	4	0	1	0	1	3	1	0	0	3	1	0	3	12	0	0	19	4	0	4	3	5	0	6	2	
1283	1696	470	61	130	111	1808	1673	1589	1633	1251	603	239	1063	638	135	982	1351	2155	1691	2008	2288	2597	1284	323	532	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	1	0	1	2	0	5	0	3	1	0	3	3	0	0	0	5	0	2	2	6	0	1	0	
56	49	18	4	49	43	205	156	52	134	108	34	45	62	284	16	97	465	147	94	202	173	46	48	64	41	
3	1	0	0	0	1	0	0	2	1	3	1	0	4	2	0	0	0	2	0	0	2	14	0	1	0	
1218	1642	447	55	80	65	1593	1517	1525	1496	1129	564	191	988	336	119	885	886	1986	1597	1787	2107	2505	1232	253	491	
4	0	4	0	1	0	2	0	1	0	2	0	1	2	7	0	0	0	3	0	9	3	4	2	3	0	
1	1	1	1	0	1	2	0	1	1	5	2	2	2	3	0	0	0	4	0	7	0	11	0	1	0	
0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	5	0	0	1	7	0	0	0	
0	1	0	0	0	0	4	0	1	1	0	1	0	2	2	0	0	0	3	0	1	0	4	2	0	0	
