"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	"УИК №1547"	"УИК №1548"	"УИК №1549"	"УИК №1550"	"УИК №1551"	"УИК №1552"	"УИК №1553"	"УИК №1554"	"УИК №1555"	"УИК №1556"	"УИК №1557"	"УИК №1558"	"УИК №1559"	"УИК №1560"	"УИК №1561"	"УИК №1562"	"УИК №1563"	"УИК №1564"	"УИК №1565"	"УИК №1566"	"УИК №1567"	"УИК №1568"	"УИК №1569"	"УИК №1570"	"УИК №1571"	"УИК №1572"	"УИК №1573"	"УИК №1574"	"УИК №1575"	
1220	471	1021	833	1400	1484	1399	2021	2054	330	507	1183	2409	2696	1493	2358	2050	2552	1137	1132	1928	946	682	1867	650	984	1970	1200	1316	1610	2686	840	513	344	744	1610	960	172	2436	1950	1033	1899	1011	790	1731	1555	600	2285	1365	2707	150	1457	2069	2245	449	2754	831	724	2357	432	2095	1310	1588	2300	322	1829	2352	1174	1070	
1230	450	1020	800	1400	1450	1400	2100	2050	330	500	1250	2400	2700	1500	2350	2050	2550	1100	1100	1900	880	700	1850	650	950	1950	1200	1300	1600	2700	840	500	340	750	1600	950	170	2400	1950	1000	1900	1000	790	1700	1550	600	2250	1250	2700	150	1490	2050	2200	430	2750	830	720	2350	450	2100	1290	1600	2300	320	1830	2300	1140	1050	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1202	448	969	800	1317	1423	1381	2013	1988	300	465	1143	2356	2604	1418	2263	1962	2469	1069	1075	1831	851	657	1784	631	926	1864	1127	1240	1539	2356	802	486	318	733	1523	945	156	2337	1888	961	1842	964	768	1636	1481	561	2193	1232	2582	142	1394	2015	2094	399	2722	784	705	2218	432	2047	1218	1499	2207	300	1794	784	776	584	
18	0	38	0	13	7	0	8	50	15	5	40	32	21	7	45	33	18	0	0	0	14	25	20	0	13	29	25	12	21	20	9	10	6	7	10	2	6	6	13	3	38	23	5	0	0	10	0	15	22	0	63	0	60	15	11	10	4	40	0	11	4	1	0	5	14	54	30	18	
0	2	13	0	70	20	19	79	12	15	30	67	12	75	75	42	55	63	31	25	69	15	18	46	19	11	57	48	48	40	324	29	4	16	10	67	3	8	57	49	36	20	13	17	64	69	29	57	3	96	8	33	35	46	16	17	36	11	92	18	42	68	100	93	15	22	1462	334	447	
18	0	38	0	13	7	0	8	50	15	5	40	32	21	7	45	33	18	0	0	0	14	25	20	0	13	29	25	12	21	20	9	10	6	7	10	2	6	6	13	3	38	23	5	0	0	10	0	15	22	0	63	0	60	15	11	10	4	40	0	11	4	1	0	5	14	54	30	18	
1143	448	969	800	1317	1423	1381	2013	1988	300	465	1143	2356	2604	1418	2263	1962	2469	1069	1075	1831	851	657	1784	631	926	1864	1127	1240	1539	2336	802	486	318	733	1523	945	156	2337	1888	961	1842	964	768	1636	1481	561	2193	1232	2582	142	1394	2015	2094	399	2722	784	705	2218	432	2047	1218	1499	2207	300	1794	784	776	584	
0	0	0	0	3	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	3	0	0	0	8	10	7	2	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	24	8	14	1	
1161	448	1007	800	1327	1430	1381	2021	2038	315	470	1140	2388	2625	1425	2308	1995	2487	1069	1075	1831	862	682	1804	631	931	1883	1145	1250	1558	2338	811	496	324	740	1533	947	162	2343	1901	964	1880	987	773	1636	1481	571	2193	1247	2588	142	1451	2009	2154	414	2733	794	709	2258	432	2058	1222	1500	2207	305	1784	830	792	601	
