"УИК №1782"	"УИК №1783"	"УИК №1784"	"УИК №1785"	"УИК №1786"	"УИК №1787"	"УИК №1788"	"УИК №1789"	"УИК №1790"	"УИК №1791"	"УИК №1792"	"УИК №1793"	"УИК №1794"	"УИК №1795"	"УИК №1796"	"УИК №1797"	"УИК №1798"	"УИК №1799"	"УИК №1800"	"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	
1114	1443	899	1032	1263	1268	1366	1263	1205	912	304	1018	1339	1000	751	203	920	819	742	1018	347	250	1082	304	110	481	386	508	521	488	300	1295	192	455	377	131	123	200	
1100	1400	900	900	1300	1200	1400	1200	1100	900	300	1000	1300	1000	700	200	900	800	700	1000	350	250	1000	300	190	450	400	450	500	500	300	1300	180	450	350	130	120	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	
462	713	506	557	646	649	660	627	593	478	130	463	631	515	404	89	398	322	248	424	106	62	474	136	84	186	138	186	231	230	176	555	96	181	169	56	65	123	
10	30	8	23	47	52	39	9	85	7	9	48	61	26	34	7	48	58	69	75	38	41	52	35	26	38	40	63	60	44	37	56	15	80	21	17	9	7	
628	657	386	320	607	499	701	564	422	415	161	489	608	459	262	104	454	420	383	501	206	147	474	129	80	226	222	201	209	226	87	689	69	189	146	57	46	60	
10	30	8	23	47	52	39	9	85	7	9	48	61	26	34	7	48	58	69	75	38	41	52	35	26	38	40	63	60	44	37	56	15	80	35	17	9	7	
462	713	506	557	646	649	660	627	593	478	130	463	631	515	404	89	398	322	248	424	106	62	474	136	84	186	138	186	231	230	176	555	96	181	169	56	65	123	
6	12	2	6	13	6	4	9	7	1	1	8	10	4	2	0	9	7	2	5	1	0	5	2	1	1	6	3	5	7	1	7	0	2	4	0	0	1	
466	731	512	574	680	695	695	627	671	484	138	503	682	537	436	96	437	373	315	494	143	103	521	169	109	223	172	246	286	267	212	604	111	259	200	73	74	129	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	0	2	3	4	2	0	4	1	0	2	2	4	3	0	1	0	2	3	1	0	1	1	0	0	2	0	2	3	1	1	0	2	1	1	0	0	
70	154	132	104	135	150	126	137	147	115	7	78	69	66	68	7	87	51	30	68	19	4	64	20	17	33	24	28	33	18	16	91	19	34	10	4	6	11	
34	43	28	37	36	51	58	32	41	27	9	30	56	37	28	11	32	34	23	47	11	7	27	6	2	21	13	20	21	16	14	61	5	29	9	3	4	12	
350	513	346	417	491	479	493	449	465	336	119	383	547	428	334	75	310	281	259	368	104	90	420	136	88	167	131	195	226	227	178	437	85	191	179	64	64	106	
3	4	4	6	8	3	7	4	7	1	0	3	0	0	1	0	1	0	1	1	4	0	3	3	0	1	2	1	2	0	0	4	1	2	0	0	0	0	
1	6	1	4	4	4	7	3	1	3	1	3	3	1	1	3	1	2	0	5	3	1	2	1	2	1	0	0	0	2	2	2	1	1	0	1	0	0	
3	2	0	2	0	3	1	2	2	1	1	3	4	0	1	0	0	2	0	2	0	1	3	2	0	0	0	0	2	1	1	6	0	0	0	0	0	0	
2	5	1	2	3	1	1	0	4	0	1	1	1	1	0	0	5	3	0	0	1	0	1	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	
