"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	
1731	1488	269	1153	133	496	233	211	381	119	558	209	328	100	100	
1760	1560	275	1220	140	520	240	210	430	120	550	230	365	110	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1068	864	152	529	54	266	132	119	210	55	333	107	211	75	54	
44	40	5	71	13	22	14	10	20	3	38	27	11	8	10	
648	656	118	620	73	232	94	81	200	62	179	96	143	27	46	
44	40	5	71	13	22	14	10	20	3	38	27	11	8	10	
1068	864	152	529	54	266	132	119	210	55	333	107	211	75	54	
21	12	1	13	0	5	1	4	4	0	10	3	7	0	1	
1091	892	156	587	67	283	145	125	226	58	361	131	215	83	63	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	0	4	1	2	1	1	1	0	1	0	3	0	1	
199	211	30	112	7	42	13	17	26	8	119	13	33	28	9	
96	70	18	41	11	31	12	15	19	2	37	6	33	8	1	
773	599	106	421	48	206	115	91	179	46	192	111	140	46	52	
7	5	0	3	0	0	0	1	1	1	6	1	3	0	0	
2	3	2	2	0	0	3	0	0	0	3	0	2	0	0	
4	3	0	3	0	1	1	0	0	1	2	0	0	1	0	
4	0	0	1	0	1	0	0	0	0	1	0	1	0	0	
