"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	
1301	1163	592	656	1295	499	451	518	1013	1439	2623	2602	449	761	1316	516	736	1982	1892	602	1065	810	
1200	1200	550	600	1250	450	450	500	950	1300	2600	2500	400	750	1250	450	700	1800	1850	500	1000	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
615	607	294	338	656	269	238	207	552	674	1636	1564	232	401	690	320	426	1170	1181	335	563	462	
24	41	18	33	20	9	10	19	30	180	63	51	20	23	39	15	18	78	14	16	42	21	
561	552	238	229	574	172	202	274	368	446	901	885	148	326	521	115	256	552	655	149	395	267	
24	41	18	33	20	9	10	19	30	180	63	51	20	23	39	15	18	78	14	16	42	21	
615	607	294	338	656	269	238	207	552	674	1636	1564	232	401	690	320	426	1169	1181	335	563	462	
10	8	3	5	13	2	4	5	9	10	18	22	3	5	5	5	2	14	26	7	4	7	
629	640	309	366	663	276	244	221	573	844	1681	1593	249	419	724	330	442	1233	1169	344	601	476	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	1	0	3	1	0	0	5	3	7	14	1	4	2	1	1	10	1	1	3	3	
55	64	29	25	55	16	14	11	42	72	150	171	36	34	53	28	31	90	96	16	36	36	
42	38	18	24	37	4	19	14	50	75	92	110	14	22	45	19	30	96	89	24	27	34	
507	510	257	307	545	250	201	194	465	680	1371	1240	192	350	605	274	369	999	939	294	522	388	
8	5	1	2	9	0	4	0	5	9	29	32	4	7	6	7	3	14	18	5	5	8	
1	4	2	4	5	2	2	1	1	3	9	6	1	0	6	1	2	5	8	2	2	3	
4	9	1	2	5	1	1	0	2	0	8	7	0	0	2	0	5	10	5	0	3	1	
7	7	0	2	4	2	3	1	3	2	15	13	1	2	5	0	1	9	13	2	3	3	
