"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	
2531	1470	1542	1402	1345	1306	501	830	
2200	1200	1200	1200	1200	1200	500	800	
0	0	0	0	0	0	0	0	
1666	950	960	948	840	784	274	651	
48	22	27	16	32	37	8	41	
486	228	213	236	328	379	218	108	
48	22	27	16	32	37	8	41	
1666	950	960	948	840	784	274	650	
21	10	12	12	10	6	6	13	
1693	962	975	952	862	815	276	678	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

12	6	10	10	9	3	2	2	
202	96	140	124	102	90	23	51	
97	61	58	50	40	64	18	52	
1304	738	708	707	661	621	219	542	
35	32	30	37	28	20	9	14	
13	3	7	8	5	6	1	3	
10	12	8	4	9	4	1	6	
20	14	14	12	8	7	3	8	
