"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	
1827	1878	2217	2131	2150	2006	2116	2183	1504	1406	1388	1917	1690	1555	1708	1795	
1800	1850	2050	2000	2000	1900	2000	2100	1500	1300	1300	1800	1600	1550	1650	1850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1009	1202	1270	1744	1647	1780	1669	1650	867	1137	1067	1457	1100	1496	1360	1297	
417	469	661	56	217	42	151	252	510	83	181	208	328	54	223	330	
374	179	119	200	136	78	180	198	123	80	52	135	172	0	67	223	
417	469	661	56	217	42	151	252	510	83	181	208	328	54	223	330	
1009	1202	1270	1744	1647	1780	1669	1650	867	1137	1067	1457	1100	1496	1360	1297	
9	11	10	3	16	19	7	13	0	9	6	11	7	0	10	33	
1417	1660	1921	1797	1848	1803	1813	1889	1377	1211	1242	1654	1421	1550	1573	1594	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	7	12	4	5	7	14	9	6	4	7	5	5	7	8	7	
60	111	129	106	64	130	110	149	79	101	82	101	103	132	92	108	
126	81	161	136	204	71	127	177	124	137	99	123	65	105	65	134	
1208	1418	1560	1522	1515	1541	1523	1506	1140	932	1028	1390	1219	1218	1381	1306	
7	16	36	7	28	24	30	23	16	15	6	16	14	34	11	15	
4	8	6	9	11	4	3	9	2	11	7	6	8	22	2	6	
6	5	9	8	9	12	3	5	7	11	7	8	3	17	11	7	
1	14	8	5	12	14	3	11	3	0	6	5	4	15	3	11	
