"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	
395	300	2004	788	390	173	285	772	550	428	230	442	358	170	
432	307	2155	856	381	185	319	815	607	449	234	502	342	196	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
370	272	1151	746	352	160	268	700	502	404	198	402	324	156	
8	9	42	26	20	5	3	46	29	0	24	19	11	5	
54	26	962	84	9	20	48	69	76	45	12	81	7	35	
8	9	42	26	20	5	3	46	29	0	24	19	11	5	
370	272	1151	746	352	160	268	700	502	404	198	402	324	156	
0	1	19	7	0	0	0	0	0	0	0	0	0	0	
378	280	1174	765	372	165	271	746	531	404	222	421	335	161	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	2	0	1	1	0	1	1	0	1	0	0	
5	10	203	88	10	6	6	14	12	15	1	6	10	1	
0	1	16	4	3	1	2	3	5	4	0	6	2	1	
373	268	910	658	359	154	258	725	506	374	221	401	320	157	
0	1	26	9	0	2	3	2	4	3	0	3	1	2	
0	0	4	2	0	1	1	1	0	4	0	3	2	0	
0	0	5	2	0	0	0	1	1	3	0	1	0	0	
0	0	8	0	0	0	0	0	2	0	0	0	0	0	
