"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	
154	354	30	1031	986	1338	1366	543	1146	193	237	87	
161	386	34	1079	966	1407	1438	551	1179	199	251	100	
0	0	0	0	0	0	0	0	0	0	0	0	
120	235	25	493	431	613	615	285	524	144	182	61	
6	17	0	48	80	25	37	75	92	8	11	2	
35	134	9	538	455	769	786	191	563	47	58	37	
6	17	0	48	80	25	37	75	92	8	11	2	
120	235	25	493	431	613	615	285	524	144	182	61	
0	1	0	233	199	19	14	3	93	3	1	0	
126	251	25	308	312	619	638	357	523	149	192	63	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	3	0	3	4	3	7	0	1	0	
23	56	0	87	57	170	205	35	136	25	25	12	
0	2	0	12	6	13	20	11	42	3	2	0	
91	188	23	189	243	381	376	302	331	113	161	49	
6	2	1	10	2	38	19	2	1	7	3	1	
1	2	0	2	0	4	5	1	3	0	0	0	
3	1	0	1	3	8	5	1	1	1	0	0	
1	0	0	4	1	2	4	2	2	0	0	1	
