"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	
232	303	299	319	271	523	459	131	582	1517	1375	1517	275	415	292	502	301	2268	2982	1573	1858	1593	988	1383	969	1404	2035	2000	989	1108	1656	1727	2116	947	1135	563	261	515	179	138	2099	
240	300	260	300	250	500	440	110	590	1500	1300	1400	255	350	270	470	310	2300	2700	1500	1800	1500	1000	1400	900	1400	1900	1900	1000	1050	1550	1600	2000	900	1100	550	240	500	190	125	2100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
152	211	158	193	171	345	302	75	398	938	902	933	157	267	177	374	165	1474	1834	963	1181	972	469	814	550	894	1186	1187	641	676	1039	1173	1339	639	691	274	117	291	122	84	1269	
27	12	82	32	29	42	35	17	80	44	28	105	45	37	24	46	79	29	136	78	96	39	85	81	36	47	78	64	32	18	28	22	82	21	47	125	61	38	20	13	51	
61	77	20	75	50	113	103	18	112	518	370	362	53	46	69	50	66	797	730	459	523	489	446	505	314	459	636	649	327	356	483	405	579	240	362	151	62	171	48	28	780	
27	12	82	32	29	42	35	17	80	44	28	105	45	37	24	46	79	29	136	78	96	39	85	81	36	47	78	64	32	18	28	22	82	21	47	125	61	38	20	13	51	
152	211	158	193	171	345	302	75	398	938	902	933	157	267	177	374	165	1474	1834	963	1181	972	469	813	550	893	1186	1186	641	676	1039	1172	1339	638	691	274	117	291	122	84	1269	
4	4	0	7	1	7	6	1	3	18	21	10	2	0	6	2	0	30	17	13	13	15	3	14	8	9	13	16	11	12	17	20	13	19	4	3	0	5	2	0	20	
175	219	240	218	199	380	331	91	475	964	909	1028	200	304	195	418	244	1473	1953	1028	1264	996	551	880	578	931	1251	1234	662	682	1050	1174	1408	640	734	396	178	324	140	97	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	4	2	0	0	1	1	3	4	4	7	4	0	2	2	1	9	13	7	11	5	1	13	7	5	14	9	3	2	5	10	11	3	5	3	0	4	0	0	4	
7	14	23	29	16	29	32	3	37	100	105	120	14	22	18	42	13	130	213	115	163	121	81	94	62	95	157	141	73	64	119	153	189	60	71	24	16	35	7	2	122	
13	22	9	12	18	30	31	7	55	64	57	75	15	21	24	30	11	125	135	90	88	75	55	81	45	65	96	95	63	56	63	77	78	62	40	34	9	27	11	4	106	
148	172	198	171	159	314	260	78	372	767	718	784	163	252	141	332	216	1156	1535	785	976	754	397	671	449	731	947	961	507	530	831	892	1093	501	600	324	143	255	121	89	1033	
4	4	1	1	3	2	2	2	2	11	10	16	0	4	6	8	3	22	22	11	12	12	7	9	2	11	14	10	7	8	9	16	11	5	5	5	2	0	1	0	15	
1	2	1	1	3	2	4	0	0	4	6	13	2	2	2	0	0	9	10	8	2	9	3	5	1	6	8	13	4	5	6	7	11	4	6	2	2	2	0	2	7	
1	2	1	1	0	1	0	0	6	6	4	7	0	1	1	2	0	16	15	6	7	13	6	3	6	10	12	2	3	10	6	8	7	4	4	1	6	1	0	0	10	
1	2	3	1	0	2	1	0	0	8	5	6	2	2	1	2	0	6	10	6	5	7	1	4	6	8	3	3	2	7	11	11	8	1	3	3	0	0	0	0	3	
