"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	"УИК №2811"	"УИК №2812"	"УИК №2813"	"УИК №2814"	"УИК №2815"	"УИК №2816"	"УИК №2817"	"УИК №2818"	
2630	1612	717	290	300	158	213	292	349	152	229	199	180	340	434	116	117	443	
2400	1450	650	300	280	160	200	300	340	160	210	190	180	320	410	118	120	420	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1876	1257	632	241	234	121	82	209	259	109	148	140	125	239	293	82	103	333	
177	145	5	36	30	32	73	64	62	37	38	47	27	79	75	29	7	20	
347	48	13	23	16	7	45	27	19	14	24	3	28	2	42	7	10	67	
177	145	5	36	30	32	73	64	62	37	38	47	27	79	75	29	7	20	
1876	1257	632	241	234	121	82	209	259	109	148	140	125	239	293	82	103	333	
29	23	6	8	1	1	4	7	6	2	5	0	7	5	4	3	2	6	
2024	1379	631	269	263	152	151	266	315	144	181	187	145	313	364	108	108	347	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

21	14	0	0	2	2	2	3	2	1	1	3	0	2	1	0	0	4	
305	194	67	57	47	17	15	33	27	4	28	20	13	37	26	10	6	30	
167	133	65	30	25	19	14	22	21	10	15	14	14	24	36	12	7	24	
1459	981	479	170	181	112	118	197	261	127	134	146	118	240	284	85	94	286	
22	26	10	4	0	1	0	4	0	0	1	3	0	1	9	0	1	3	
19	16	2	1	3	1	0	5	3	1	2	0	0	5	3	1	0	0	
18	6	4	2	1	0	2	1	1	1	0	0	0	1	3	0	0	0	
13	9	4	5	4	0	0	1	0	0	0	1	0	3	2	0	0	0	
