"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	
437	313	2361	1547	1256	1901	1301	2184	1975	2514	1659	2072	2067	2047	567	1110	963	
429	319	2183	1432	1151	1767	1188	2031	1824	2273	1592	1848	1912	1922	580	1062	925	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
366	266	1723	1178	835	1480	993	1655	1519	1979	1271	1602	1606	1530	489	853	832	
31	32	240	145	98	150	130	170	169	160	165	179	179	202	7	110	93	
32	21	220	109	218	137	65	206	136	134	156	67	127	190	84	99	0	
31	32	240	145	98	150	130	170	169	160	165	179	179	202	7	110	93	
366	266	1723	1178	835	1480	993	1655	1519	1979	1271	1602	1606	1530	489	853	832	
0	0	0	0	0	15	0	22	1	9	0	0	0	0	0	0	0	
397	298	1963	1323	933	1615	1123	1803	1687	2130	1436	1781	1785	1732	496	963	925	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	12	8	22	10	7	11	11	13	9	11	11	11	3	6	2	
20	19	101	69	47	81	58	94	87	111	75	93	93	90	26	50	45	
19	11	94	64	51	75	53	87	81	102	69	86	86	83	24	46	41	
348	265	1726	1162	787	1425	988	1584	1482	1871	1261	1564	1568	1521	436	846	831	
1	1	3	2	2	2	2	3	3	3	2	3	3	3	1	2	1	
4	1	21	14	19	17	12	19	18	23	15	19	19	18	5	10	3	
1	0	4	2	4	3	2	3	3	4	3	3	3	3	1	2	1	
1	0	2	2	1	2	1	2	2	3	2	2	2	3	0	1	1	
