"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	
1685	1811	460	2296	2480	1934	2079	2511	2428	2390	2307	1798	1428	1494	1169	2166	1643	1441	1474	1296	1316	470	2026	1147	2045	1837	754	1285	75	102	47	140	
1114	1740	447	2310	2410	1890	2040	2460	2430	2431	2290	1791	1400	1460	1111	2150	1590	1400	1474	1283	1292	467	2020	1143	2030	1810	720	1268	75	106	47	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
962	1018	381	1394	1614	996	1112	1318	1552	1588	1433	1514	756	944	634	1237	901	777	768	1056	1068	372	1890	932	1003	844	642	1052	75	102	47	140	
152	80	24	311	84	236	310	463	299	237	272	87	242	220	224	341	231	82	77	97	87	47	84	78	250	150	22	92	0	0	0	0	
0	642	42	605	712	658	618	679	579	606	585	190	402	296	253	572	458	541	629	130	137	48	46	133	777	816	56	124	0	4	0	0	
153	80	24	305	84	236	310	462	300	237	272	87	242	220	224	337	231	82	77	97	87	47	84	78	248	150	22	92	0	0	0	0	
958	1011	381	1389	1611	991	1112	1316	1546	1584	1427	1514	755	943	634	1235	901	777	768	1056	1068	372	1888	932	1003	843	642	1052	75	102	47	140	
6	42	4	2	2	17	2	3	9	7	2	6	6	1	9	24	8	5	5	5	5	4	4	3	0	1	6	16	0	0	0	0	
1105	1049	401	1692	1693	1210	1420	1775	1837	1814	1697	1595	991	1162	849	1548	1124	854	840	1148	1150	415	1968	1007	1251	992	658	1128	75	102	47	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	7	6	4	7	7	6	17	5	12	17	8	5	3	2	7	8	4	4	15	4	1	3	20	5	7	2	3	0	0	0	0	
146	120	32	158	162	131	123	209	84	185	187	82	103	123	90	178	144	103	98	39	88	26	128	26	158	113	41	94	0	0	0	0	
92	98	32	135	150	98	126	203	111	157	146	65	96	106	84	151	129	86	103	51	60	39	144	36	126	121	39	83	0	0	0	0	
831	787	316	1364	1338	939	1124	1266	1621	1416	1255	1409	765	899	655	1172	797	645	607	1002	988	341	1654	869	926	735	565	930	75	102	47	140	
16	16	15	12	12	14	24	42	6	16	24	13	5	16	4	18	13	6	8	14	3	4	17	21	13	9	6	6	0	0	0	0	
3	4	0	8	4	9	5	21	3	12	44	8	3	2	8	10	5	5	10	6	1	2	10	11	10	2	2	5	0	0	0	0	
9	11	0	6	9	6	9	4	2	6	17	7	9	7	3	7	14	3	4	6	5	1	4	11	6	1	1	3	0	0	0	0	
6	6	0	5	11	6	3	13	5	10	7	3	5	6	3	5	14	2	6	15	1	1	8	13	7	4	2	4	0	0	0	0	
