"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	
1820	2334	1034	2409	2358	1584	1909	1962	2384	1721	2003	1976	1870	2348	1736	2021	1952	2134	1833	2138	1773	1940	2071	2043	1380	
1790	2270	1050	2370	2290	1590	1870	1930	2410	1670	1961	1960	1850	2320	1680	2000	1910	2140	1760	2098	1750	1890	1970	1960	1360	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1201	1379	906	1577	1560	1055	1194	1212	1490	1145	1288	1344	1225	1619	1142	1363	1179	1344	1322	1171	1090	1187	1241	1578	893	
271	247	24	36	146	124	136	161	54	120	201	116	66	94	123	74	75	188	72	493	195	205	161	203	110	
318	644	120	757	584	411	540	557	866	405	472	500	559	607	415	563	656	608	366	434	465	498	568	179	357	
271	246	24	36	146	123	136	158	54	120	201	116	66	94	123	74	75	188	72	493	193	206	160	203	110	
1201	1378	906	1573	1556	1055	1194	1209	1490	1145	1286	1343	1225	1619	1141	1360	1172	1342	1320	1170	1089	1178	1239	1522	893	
14	0	10	11	7	8	1	7	4	2	3	6	11	0	10	23	2	6	14	7	18	9	7	20	1	
1458	1624	920	1598	1695	1170	1329	1360	1540	1263	1484	1453	1280	1713	1254	1411	1245	1524	1378	1656	1264	1375	1392	1705	1002	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	8	14	6	10	8	12	6	12	6	15	16	8	11	10	11	6	10	8	8	10	8	9	5	5	
203	199	22	228	277	161	175	196	211	177	209	184	195	245	155	213	176	195	153	186	140	197	184	164	121	
125	144	36	173	190	101	122	125	130	97	130	122	112	119	116	129	122	129	113	139	111	126	120	124	76	
1090	1219	817	1137	1144	862	971	978	1133	937	1085	1084	921	1282	929	1011	891	1150	1071	1281	959	987	1010	1365	761	
15	27	13	24	28	20	19	23	23	16	20	19	14	22	18	25	19	14	11	20	17	26	30	19	12	
7	11	5	13	12	2	12	11	12	8	7	10	4	9	7	5	9	7	10	3	9	12	16	8	9	
6	7	4	9	17	6	7	13	9	10	8	6	12	11	8	8	7	7	2	7	13	7	11	10	9	
8	9	9	8	17	10	11	8	10	12	10	12	14	14	11	9	15	12	10	12	5	12	12	10	9	
