"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	
2059	1569	1951	2109	2174	652	1785	2142	2140	1178	978	1884	1938	1789	1251	2375	1590	1817	1501	2450	2588	1508	759	1871	2405	1121	1673	732	236	45	228	105	52	269	
1980	1520	1919	2040	2120	606	1730	2100	2090	1143	935	1870	1301	1810	1275	2360	1537	1820	1470	2380	2500	1450	743	1900	1472	1098	1580	732	240	45	250	105	52	269	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1233	868	1654	1183	1149	457	1030	1260	1221	581	838	1001	1050	996	1080	1716	1059	1552	1295	1530	1609	837	507	1174	1170	961	959	732	236	45	228	105	52	269	
65	109	83	411	276	14	169	193	113	104	17	186	251	195	27	84	132	60	36	289	154	134	114	186	302	43	229	0	0	0	0	0	0	0	
682	543	182	446	695	135	531	647	756	458	80	683	0	619	168	560	346	208	139	561	737	479	122	540	0	94	392	0	4	0	22	0	0	0	
65	109	83	411	276	14	169	193	112	104	17	185	250	195	27	84	132	60	36	289	154	133	114	186	300	43	229	0	0	0	0	0	0	0	
1232	868	1654	1182	1131	457	1030	1252	1219	581	838	999	1048	994	1080	1710	1059	1551	1295	1527	1424	835	507	1165	1162	961	959	732	236	45	228	105	52	269	
0	1	7	1	3	3	1	11	3	4	0	9	5	8	0	12	10	2	20	10	9	10	1	19	15	1	4	0	0	0	0	0	0	0	
1297	976	1730	1592	1404	468	1198	1434	1328	681	855	1175	1293	1181	1107	1782	1181	1609	1311	1806	1569	958	620	1332	1447	1003	1184	732	236	45	228	105	52	269	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	3	32	8	9	1	7	4	8	1	2	8	4	3	3	10	4	9	3	5	6	6	3	7	11	3	11	0	0	0	0	0	0	0	
176	127	42	187	154	55	122	147	183	92	29	176	145	105	59	187	103	113	89	186	179	119	34	179	157	55	120	0	0	0	0	0	0	0	
124	86	56	134	143	41	127	128	156	84	52	104	120	98	72	158	112	127	54	155	156	110	30	186	186	48	103	0	0	0	0	0	0	0	
947	719	1509	1206	1051	355	910	1102	949	481	763	845	999	948	954	1365	931	1332	1146	1423	1195	693	547	922	1051	884	913	732	236	44	228	105	52	269	
20	14	34	20	21	3	13	23	12	7	5	21	8	13	8	21	15	14	5	17	13	17	3	12	17	6	17	0	0	1	0	0	0	0	
8	10	18	12	8	4	3	8	7	5	2	8	4	5	7	20	6	6	6	8	7	3	2	12	11	3	10	0	0	0	0	0	0	0	
5	5	19	10	9	2	10	9	7	4	1	8	5	2	2	15	3	6	6	6	9	5	1	6	11	3	5	0	0	0	0	0	0	0	
9	12	20	15	9	7	6	13	6	7	1	5	8	7	2	6	7	2	2	6	4	5	0	8	3	1	5	0	0	0	0	0	0	0	
