"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	
1740	1166	980	1606	902	894	1386	1213	1408	1176	1459	1417	1226	1218	1382	2346	2540	3145	1246	1508	1498	1414	1435	1344	1624	1447	1420	1306	1273	1319	1391	1660	1645	1606	1405	1543	1476	1531	2235	2059	1653	
1700	1150	1000	1600	1000	800	1350	1250	1450	1150	1450	1400	1150	1200	1400	2500	3100	3100	1250	1550	1500	1400	1450	1350	1550	1450	1400	1300	1300	1300	1400	1650	1600	1750	1400	1550	1450	1550	2250	2100	1750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1637	1084	873	1517	724	594	1283	1149	1091	742	1245	1238	1074	1083	950	1719	2477	2589	943	1157	1224	1102	1100	1200	1358	1332	1181	1215	1151	1178	1250	1523	1465	1365	1244	1263	1371	1281	1426	1660	1521	
22	25	33	26	105	198	40	44	87	34	61	47	50	40	19	41	63	116	198	50	34	57	50	30	52	46	63	63	33	36	30	22	18	113	20	26	32	20	22	28	19	
41	41	94	57	171	8	27	57	272	374	144	115	26	77	431	740	560	395	109	343	242	241	300	120	140	72	156	22	116	86	120	105	117	272	136	261	47	249	802	412	210	
22	25	33	26	105	198	40	44	87	34	61	47	50	40	19	41	63	116	198	50	34	57	50	30	52	46	63	63	33	36	30	22	18	113	20	26	32	20	22	28	19	
1637	1084	873	1515	724	594	1283	1149	1089	742	1245	1238	1074	1083	950	1719	2477	2588	943	1157	1224	1102	1100	1200	1358	1332	1181	1215	1151	1178	1250	1523	1465	1362	1242	1263	1370	1281	1426	1658	1521	
5	5	3	1	1	3	2	0	18	8	0	8	0	2	7	25	0	30	9	8	16	1	2	0	28	0	2	14	5	11	0	12	14	27	5	13	1	10	13	0	0	
1654	1104	903	1540	828	789	1321	1193	1158	768	1306	1277	1124	1121	962	1735	2540	2674	1132	1199	1242	1158	1148	1230	1382	1378	1242	1264	1179	1203	1280	1533	1469	1448	1257	1276	1401	1291	1435	1686	1540	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	4	1	1	0	3	5	0	0	4	0	2	1	3	3	4	8	16	7	5	5	0	5	3	5	2	1	8	1	6	2	8	7	4	6	5	7	5	4	8	0	
30	8	6	4	4	18	5	1	60	108	14	13	8	25	212	48	56	371	18	82	54	127	155	45	31	22	10	9	28	20	20	27	12	35	64	107	8	80	70	34	71	
48	48	8	101	40	32	52	16	50	45	70	96	72	34	95	76	280	352	35	34	28	72	50	26	19	28	35	15	18	36	64	56	44	56	66	65	35	52	36	49	35	
1566	1036	887	1419	765	719	1236	1174	1044	586	1201	1137	1035	1043	614	1597	2161	1820	1041	1042	1133	950	920	1132	1297	1310	1181	1209	1120	1117	1177	1415	1376	1333	1097	1071	1331	1108	1290	1551	1386	
5	2	0	10	8	7	1	1	1	9	5	5	1	7	10	4	21	86	6	17	5	3	6	8	10	7	4	9	9	13	4	7	16	3	11	3	0	23	11	14	21	
1	3	1	2	5	7	5	0	0	3	1	2	1	3	9	2	4	14	6	3	8	1	3	4	5	2	1	6	1	5	3	6	3	3	7	7	4	5	8	8	18	
2	1	0	2	4	1	5	0	0	2	8	2	1	4	9	4	7	9	5	10	2	1	0	5	7	3	0	3	1	4	3	6	6	4	5	6	2	5	7	11	0	
1	2	0	1	2	2	12	1	3	11	7	20	5	2	10	0	3	6	14	6	7	4	9	7	8	4	10	5	1	2	7	8	5	10	1	12	14	13	9	11	9	
