"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1681"	"УИК №1682"	"УИК №1683"	"УИК №1684"	"УИК №1685"	"УИК №1686"	"УИК №1687"	"УИК №1688"	"УИК №1689"	"УИК №1690"	"УИК №1691"	"УИК №1692"	"УИК №1693"	"УИК №1694"	"УИК №1695"	"УИК №1696"	"УИК №1697"	"УИК №1698"	"УИК №1699"	"УИК №1700"	"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №1750"	"УИК №1751"	
735	690	625	684	730	302	675	219	342	588	131	203	65	712	371	294	53	1022	496	89	302	116	764	51	115	518	138	884	123	179	728	63	867	408	374	376	389	99	674	528	596	629	614	767	355	550	
731	712	651	748	717	322	677	256	350	659	131	219	69	757	372	294	58	1201	492	89	307	116	855	50	148	556	143	994	123	181	741	73	888	419	388	387	405	131	697	539	645	664	704	791	348	560	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
627	578	549	548	492	183	524	175	277	507	109	188	63	624	336	241	48	729	418	81	253	107	696	44	113	407	95	626	107	142	612	60	736	357	293	318	360	80	564	464	519	560	518	676	293	474	
28	45	36	80	94	92	93	16	40	51	19	9	0	36	23	41	4	276	48	5	44	7	19	6	0	71	20	170	13	33	67	2	72	24	60	40	11	15	61	34	32	30	50	51	44	47	
76	89	66	120	131	47	60	65	33	101	3	22	6	97	13	12	6	196	26	3	10	2	140	0	35	78	28	198	3	6	62	11	80	38	35	29	34	36	72	41	94	74	136	64	11	39	
28	45	36	80	94	92	93	16	40	51	19	9	0	36	23	41	4	276	48	5	44	7	19	6	0	71	20	170	13	33	67	2	72	24	60	40	11	15	61	34	32	30	50	51	44	47	
627	578	549	548	492	183	524	175	277	507	109	188	63	624	336	241	48	729	418	81	253	107	696	44	113	407	95	626	107	142	612	60	736	357	293	318	360	80	564	464	519	560	518	676	293	474	
4	8	5	9	3	1	6	1	2	1	0	1	0	1	1	1	0	2	0	0	0	0	2	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	2	1	1	1	1	0	1	
651	615	580	619	583	274	611	190	315	557	128	196	63	659	358	281	52	1003	466	86	297	114	713	50	113	478	115	795	119	175	678	62	807	381	353	357	371	95	624	496	550	589	567	726	337	520	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	2	5	5	1	2	1	1	2	1	1	0	2	0	1	0	4	1	1	0	0	3	0	1	1	0	2	1	1	1	0	3	1	1	1	1	1	3	2	1	1	2	2	1	2	
22	23	18	20	27	9	12	3	9	12	1	4	1	9	5	5	1	27	6	1	6	2	9	1	1	7	23	22	1	3	6	1	13	9	3	5	9	1	17	27	13	7	9	14	7	11	
24	20	17	17	23	7	14	4	4	11	1	3	1	10	3	5	1	26	7	1	4	4	10	1	1	8	11	20	1	4	7	1	15	7	4	4	8	1	16	7	10	10	17	18	9	10	
584	551	527	549	512	253	572	177	292	528	121	184	61	627	348	264	49	930	447	81	283	108	680	48	107	454	80	736	112	163	658	59	770	358	341	343	347	89	579	452	516	564	532	678	316	489	
8	8	9	7	7	1	3	1	4	1	1	1	0	4	1	3	1	4	1	1	1	0	4	0	1	2	1	3	1	1	2	1	1	3	1	2	2	1	4	4	3	2	2	6	1	3	
1	2	3	6	2	1	3	1	2	1	1	1	0	1	1	1	0	3	1	1	1	0	2	0	1	2	0	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
5	6	0	7	3	1	3	2	1	1	1	1	0	3	0	1	0	4	2	0	1	0	1	0	0	2	0	4	1	1	2	0	1	1	1	0	2	0	1	0	2	1	1	2	1	1	
5	4	4	8	4	1	2	1	2	1	1	1	0	3	0	1	0	5	1	0	1	0	4	0	1	2	0	7	1	1	1	0	3	1	1	1	1	1	3	2	4	3	3	5	1	3	
