"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	
1084	2498	1456	1800	1842	2121	1834	1258	1231	597	2039	1642	2400	1525	774	1616	403	1548	1637	1948	1370	2178	2133	1721	1938	1321	738	
800	2000	1200	1400	1700	1900	1700	1000	1200	650	1700	1500	2000	1400	900	1400	450	1400	1400	1700	1200	1900	1900	1500	1900	800	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
706	1769	920	1173	1271	1394	1236	837	793	422	1391	1078	1657	915	774	1093	119	990	1122	1293	833	1221	1188	901	1089	768	422	
18	31	34	21	29	32	139	29	33	141	65	32	33	32	0	17	282	55	47	54	33	27	27	19	43	12	21	
76	200	246	206	400	474	325	134	374	87	244	390	310	453	126	290	49	355	231	353	334	652	685	580	767	20	157	
18	31	34	21	29	32	139	29	33	141	65	32	33	32	0	17	282	55	47	54	33	27	27	19	43	12	21	
706	1769	920	1173	1271	1394	1236	834	793	422	1389	1078	1656	915	774	1093	119	990	1122	1291	833	1221	1188	901	1088	765	422	
41	32	16	22	14	37	19	10	8	11	16	10	16	13	7	10	4	15	18	21	13	11	18	13	21	7	4	
683	1768	938	1172	1286	1389	1356	853	818	552	1438	1100	1673	934	767	1100	397	1030	1151	1324	853	1237	1197	907	1110	770	439	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	14	6	5	9	20	19	6	10	7	16	7	13	7	23	10	5	13	14	13	8	11	9	4	10	5	5	
167	349	181	231	257	274	282	170	167	86	265	226	257	186	55	208	38	171	205	239	146	242	213	188	202	140	89	
52	154	70	92	76	106	95	51	47	62	76	60	93	52	95	78	64	69	63	85	69	114	106	74	85	72	37	
422	1152	607	770	874	917	873	586	537	364	1004	710	1240	627	481	735	265	726	797	886	586	812	816	588	772	520	285	
14	43	38	42	32	28	36	17	15	22	36	38	41	27	32	25	19	23	27	46	16	20	22	22	18	18	12	
5	14	7	2	14	6	6	3	6	4	4	14	10	8	16	7	1	6	6	8	8	8	5	6	5	2	1	
6	24	12	14	11	19	23	10	16	4	15	23	10	11	40	21	3	6	16	16	7	16	14	15	9	5	4	
8	18	17	16	13	19	22	10	20	3	22	22	9	16	25	16	2	16	23	31	13	14	12	10	9	8	6	
