"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	
1337	1050	602	1111	1021	907	1130	1150	1503	938	155	714	428	123	492	143	46	232	211	122	809	608	535	788	
1340	1150	680	1130	1050	950	1220	1210	1500	970	160	780	390	140	540	160	57	240	240	120	830	620	560	810	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
866	707	443	632	722	616	872	737	976	640	126	622	354	115	430	129	44	149	189	95	482	413	321	458	
57	62	25	27	52	46	94	53	62	38	28	33	20	8	38	3	0	40	13	23	69	27	85	72	
417	381	212	471	276	288	254	420	462	292	6	125	16	17	72	28	13	51	38	2	279	180	154	280	
57	62	25	27	52	46	94	53	62	38	28	33	20	8	38	3	0	40	13	23	69	27	85	72	
866	707	443	632	722	616	872	737	976	638	126	622	354	115	430	129	44	149	189	95	482	413	321	458	
17	14	2	13	11	12	18	13	17	7	0	6	6	2	4	2	1	0	4	0	5	5	2	6	
906	755	466	646	763	650	948	777	1021	669	154	649	368	121	464	130	43	189	198	118	546	435	404	524	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	6	5	1	3	4	3	6	7	5	1	2	1	0	4	1	2	0	0	0	6	0	0	5	
196	186	51	156	188	147	236	173	231	130	19	125	34	17	64	7	9	7	20	9	78	70	57	82	
71	51	35	47	47	39	53	42	70	47	6	42	31	8	23	7	3	24	15	7	35	45	41	51	
599	492	364	430	504	437	640	536	693	468	126	468	295	95	365	114	29	157	162	102	418	313	295	373	
10	9	4	4	7	8	5	10	6	14	1	5	3	1	3	1	0	1	1	0	2	2	4	5	
11	5	0	2	5	7	4	4	5	3	1	2	2	0	4	0	0	0	0	0	4	1	4	3	
11	1	3	3	6	6	3	2	5	2	0	3	2	0	0	0	0	0	0	0	2	1	2	5	
3	5	4	3	3	2	4	4	4	0	0	2	0	0	1	0	0	0	0	0	1	3	1	0	
