"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	
2159	1358	1712	575	1269	1717	1058	2351	1562	1462	1503	2177	1135	1817	2530	1668	1787	1386	761	1624	1028	1617	1678	1553	1757	2137	564	
2300	1200	1800	600	1200	1800	1000	2300	1500	1500	1400	2100	1100	1600	2500	1600	1700	1200	700	1500	900	1500	1500	1500	1700	2200	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1454	815	1073	247	822	1232	788	1679	1065	1040	1166	1467	726	1159	1682	1149	1202	957	573	889	762	1024	991	903	1118	1526	361	
34	52	35	6	11	263	16	17	29	14	12	41	26	27	42	15	17	13	7	10	8	20	12	14	27	37	20	
812	333	692	347	367	305	196	604	406	446	222	592	348	414	776	436	481	230	120	601	130	456	497	583	555	637	119	
34	52	35	6	11	263	16	17	29	14	12	41	26	27	42	15	17	13	7	10	8	20	12	14	27	37	20	
1454	815	1072	247	822	1232	788	1679	1065	1040	1166	1467	726	1159	1682	1149	1202	957	573	888	762	1024	991	903	1118	1526	361	
19	10	15	5	17	23	9	13	12	13	9	20	17	12	30	15	22	9	9	11	12	11	8	15	20	25	2	
1469	857	1092	248	816	1472	795	1683	1082	1041	1169	1488	735	1174	1694	1149	1197	961	571	887	758	1033	995	902	1125	1538	379	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	4	5	3	0	14	6	7	5	7	4	6	3	7	14	6	1	7	2	6	2	5	4	10	3	5	2	
155	79	133	33	100	175	104	189	112	121	132	196	88	122	228	151	123	95	82	109	87	119	117	117	104	195	40	
139	91	108	42	90	131	59	109	62	76	83	105	71	87	117	87	85	59	43	75	57	94	93	71	91	133	28	
1129	664	828	163	606	1124	607	1316	870	809	916	1138	546	930	1297	862	956	767	418	682	594	788	756	688	911	1168	300	
18	3	9	3	11	15	8	22	17	11	16	16	11	13	20	20	10	13	11	7	8	11	8	11	4	15	2	
4	5	2	2	5	5	4	9	6	4	2	8	4	9	8	5	4	4	6	5	3	4	6	2	6	9	4	
3	5	5	1	2	5	1	16	5	5	6	10	7	2	3	10	9	8	3	1	3	6	9	2	4	7	0	
10	6	2	1	2	3	6	15	5	8	10	9	5	4	7	8	9	8	6	2	4	6	2	1	2	6	3	
