"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	
404	361	304	328	214	1353	278	484	318	1340	190	462	277	243	899	465	1284	1242	1317	185	924	1047	525	
400	350	300	320	230	1300	300	490	300	1400	180	450	290	250	870	460	1300	1200	1300	200	900	1035	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
288	268	202	229	148	940	178	337	212	864	104	285	158	118	479	288	813	770	870	110	686	722	268	
34	17	20	15	23	76	17	21	18	70	10	34	16	30	94	22	49	70	54	21	17	43	93	
78	65	78	76	59	284	105	132	70	466	66	131	116	102	297	150	438	360	376	69	197	270	139	
34	17	20	15	23	76	17	21	18	70	10	34	16	30	94	22	49	70	54	21	17	43	93	
288	268	202	229	148	940	178	337	212	864	104	285	158	118	479	288	813	770	870	110	686	722	268	
4	6	0	1	3	8	2	4	2	15	0	7	1	2	10	7	10	10	15	4	4	10	4	
318	279	222	243	168	1008	193	354	228	919	114	312	173	146	563	303	852	830	909	127	699	755	357	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	0	1	1	4	2	1	0	4	2	6	2	0	6	0	4	5	8	2	5	9	5	
27	20	29	31	12	101	23	47	22	109	10	55	13	7	126	42	142	178	173	9	109	83	35	
33	20	17	24	14	106	14	34	18	78	7	36	13	16	45	27	103	93	91	16	60	53	54	
245	227	171	173	133	774	145	262	183	705	95	207	140	121	367	220	552	522	600	93	497	573	255	
4	2	0	6	2	13	5	5	2	8	0	2	1	0	9	5	20	13	10	1	11	16	0	
3	2	2	8	6	4	2	2	1	7	0	2	3	2	7	5	12	13	7	3	8	9	5	
0	3	2	0	0	2	2	3	0	5	0	3	1	0	0	4	14	5	8	1	4	8	1	
1	2	1	0	0	4	0	0	2	3	0	1	0	0	3	0	5	1	12	2	5	4	2	
