"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	
1333	1240	1159	864	217	494	92	92	93	283	107	126	907	335	231	526	
1376	1278	1332	1009	250	586	108	109	101	341	139	137	1008	343	263	619	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
765	669	695	379	123	295	25	63	62	171	59	85	496	156	122	227	
91	73	79	292	37	97	29	18	14	65	37	24	139	83	68	151	
520	536	558	338	90	194	54	28	25	105	43	28	373	104	73	241	
91	73	79	292	37	97	29	18	14	65	37	24	139	83	68	151	
765	669	695	379	123	295	25	63	62	171	59	85	496	156	122	227	
7	12	10	3	3	0	0	0	0	0	1	0	2	2	0	1	
849	730	764	668	157	392	54	81	76	236	95	109	633	237	190	377	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	7	8	2	1	4	0	1	0	3	3	2	4	1	4	3	
133	92	136	77	34	40	4	11	12	42	13	27	64	35	13	32	
105	85	81	81	20	38	4	12	4	32	7	12	72	23	15	37	
587	525	515	497	90	304	46	51	58	152	70	65	481	171	151	296	
6	6	4	6	2	2	0	5	1	3	1	1	6	2	2	4	
6	10	8	3	5	1	0	0	0	2	1	2	0	5	4	4	
1	4	2	1	3	2	0	0	0	0	0	0	3	0	1	1	
9	1	10	1	2	1	0	1	1	2	0	0	3	0	0	0	
