"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №668"	
218	609	1627	1462	2050	1475	2157	181	176	691	90	51	
190	600	1300	1200	1600	1100	1700	180	160	650	100	100	
21	20	0	0	0	0	0	0	0	0	4	0	
104	240	936	824	1317	958	1292	87	102	322	40	14	
10	30	27	39	44	42	46	8	2	31	23	37	
55	310	337	337	239	100	362	85	56	297	33	49	
31	50	27	39	44	42	45	8	2	31	27	37	
104	240	936	824	1316	958	1281	87	102	322	40	14	
2	8	22	12	27	12	29	0	2	9	0	0	
133	282	941	851	1333	988	1297	95	102	344	67	51	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

2	0	8	9	11	9	7	2	0	4	0	1	
12	31	113	109	161	120	177	7	7	58	3	1	
14	44	128	85	152	116	147	11	17	29	13	4	
99	201	652	619	960	708	923	74	73	244	49	40	
1	2	18	13	24	21	19	0	2	4	2	4	
1	2	7	6	9	5	4	1	2	1	0	0	
4	2	10	8	7	7	11	0	1	2	0	1	
0	0	5	2	9	2	9	0	0	2	0	0	
