"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	
350	223	204	157	191	286	115	199	319	228	360	1561	1410	450	
350	220	200	170	190	290	120	200	340	220	350	1500	1400	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
156	112	120	90	103	127	64	108	187	105	191	939	673	209	
39	8	10	10	11	25	0	13	11	22	35	24	41	30	
155	100	70	70	76	138	56	79	142	93	124	537	686	211	
39	8	10	10	11	25	0	13	11	22	35	24	41	30	
156	112	120	90	103	127	64	108	187	105	191	939	673	209	
1	1	0	0	2	0	1	1	4	1	0	12	9	1	
194	119	130	100	112	152	63	120	194	126	226	951	705	238	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	1	1	1	0	2	0	2	1	6	5	2	
27	27	30	6	9	17	4	7	21	19	47	206	129	40	
17	10	19	11	12	15	6	14	34	12	22	67	73	25	
145	81	78	79	89	116	52	97	134	88	150	643	477	166	
4	0	0	1	0	1	0	0	2	2	3	7	3	2	
0	1	2	1	1	1	0	0	1	1	1	9	9	2	
0	0	0	1	0	1	0	0	0	2	2	4	5	0	
0	0	0	0	0	0	1	0	2	0	0	9	4	1	
