"УИК №4001"	"УИК №4002"	"УИК №4003"	"УИК №4004"	"УИК №4005"	"УИК №4006"	"УИК №4007"	"УИК №4008"	"УИК №4009"	"УИК №4010"	"УИК №4011"	"УИК №4012"	"УИК №4013"	"УИК №4014"	"УИК №4015"	"УИК №4016"	"УИК №4017"	"УИК №4018"	"УИК №4019"	"УИК №4020"	"УИК №4021"	"УИК №4022"	"УИК №4023"	"УИК №4024"	"УИК №4025"	"УИК №4026"	"УИК №4027"	"УИК №4028"	"УИК №4029"	"УИК №4030"	"УИК №4031"	"УИК №4032"	"УИК №4033"	"УИК №4034"	"УИК №4035"	
873	1524	1533	1511	1249	2130	2243	2145	1702	2018	1811	1689	1546	748	1936	1576	177	1306	1147	347	1656	1916	381	264	575	252	1328	1285	772	554	1687	686	518	1356	144	
880	1440	1575	1645	1235	2165	2265	2160	1735	1960	1835	1720	1540	745	2110	1632	175	1315	1180	335	1625	1870	386	260	585	250	1355	1315	790	575	1710	690	520	1365	145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
714	1161	786	1278	875	1637	1706	1725	1268	1562	1223	1203	1182	541	1612	944	155	1064	998	305	1518	1665	211	220	521	215	1139	1051	700	372	1284	627	488	1230	124	
115	140	162	40	152	223	83	192	187	52	427	83	146	70	141	26	12	201	119	30	88	195	22	36	40	31	176	231	56	159	360	42	14	99	19	
51	139	627	327	208	305	476	243	280	346	185	434	212	134	357	662	8	50	63	0	19	10	153	4	24	4	40	33	34	44	66	21	18	36	2	
115	140	162	40	152	223	83	192	187	52	427	83	146	70	141	26	12	201	119	30	88	195	22	36	40	31	176	231	56	159	360	42	14	99	19	
714	1161	785	1278	875	1637	1706	1725	1268	1562	1223	1203	1182	541	1612	944	155	1064	998	305	1518	1665	211	220	521	215	1139	1051	700	372	1284	627	488	1230	124	
0	7	11	5	9	3	11	11	12	2	15	2	11	7	15	7	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	2	0	
829	1294	936	1313	1018	1857	1778	1906	1443	1612	1635	1284	1317	604	1738	963	167	1262	1117	335	1606	1860	227	256	561	246	1315	1282	756	531	1644	669	500	1327	143	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	13	3	2	6	1	2	5	6	0	9	3	4	0	7	4	0	2	0	0	0	12	0	0	0	1	5	0	10	0	2	1	0	2	1	
82	95	108	81	101	129	182	186	85	127	165	149	151	56	197	166	19	77	40	22	24	81	24	7	22	4	50	118	30	85	28	24	22	43	1	
23	46	57	113	26	98	64	79	119	50	160	35	45	60	156	51	4	42	47	12	40	40	17	10	23	5	51	3	9	8	54	33	10	21	7	
720	1118	735	1110	867	1614	1514	1624	1192	1413	1268	1085	1098	478	1319	697	139	1135	1028	301	1542	1720	182	239	515	232	1195	1161	690	437	1553	609	468	1255	132	
2	6	11	2	7	2	5	6	15	6	14	3	4	3	31	21	2	1	0	0	0	3	3	0	0	0	6	0	3	0	2	1	0	3	1	
2	7	10	1	3	2	3	1	11	10	6	2	4	4	10	11	2	2	0	0	0	1	0	0	0	2	4	0	5	1	3	0	0	1	0	
0	6	9	2	6	1	5	2	11	3	10	3	5	1	12	6	1	0	1	0	0	2	1	0	1	2	3	0	4	0	2	0	0	2	0	
0	3	3	2	2	10	3	3	4	3	3	4	6	2	6	7	0	3	1	0	0	1	0	0	0	0	1	0	5	0	0	1	0	0	1	
