"УИК №5301"	"УИК №5302"	"УИК №5303"	"УИК №5304"	"УИК №5305"	"УИК №5306"	"УИК №5307"	"УИК №5308"	"УИК №5309"	"УИК №5310"	"УИК №5311"	"УИК №5312"	"УИК №5313"	"УИК №5314"	"УИК №5315"	"УИК №5316"	"УИК №5317"	"УИК №5318"	"УИК №5319"	"УИК №5320"	"УИК №5321"	"УИК №5322"	"УИК №5323"	"УИК №5324"	"УИК №5325"	"УИК №5326"	"УИК №5327"	"УИК №5328"	"УИК №5329"	"УИК №5330"	"УИК №5331"	"УИК №5332"	"УИК №5333"	"УИК №5334"	"УИК №5335"	"УИК №5336"	"УИК №5337"	"УИК №5338"	"УИК №5339"	"УИК №5340"	"УИК №5341"	"УИК №5342"	"УИК №5343"	"УИК №5344"	"УИК №5345"	"УИК №5346"	"УИК №5347"	"УИК №5348"	"УИК №5349"	"УИК №5350"	"УИК №5351"	"УИК №5352"	"УИК №5353"	"УИК №5354"	"УИК №5355"	"УИК №5356"	"УИК №5357"	
487	1224	358	412	1120	710	1461	744	863	833	660	1363	2392	1995	1550	298	923	1397	756	533	1242	1388	1336	1689	1237	1096	960	520	372	406	96	154	501	627	1085	668	1008	201	178	779	505	68	650	229	310	203	994	132	125	141	330	560	513	636	571	590	606	
430	1090	330	400	1000	660	1290	700	770	825	655	1225	2200	1800	1470	300	820	1310	680	470	1100	1300	1300	1520	1100	950	900	470	330	350	90	150	450	550	1000	600	950	190	170	750	460	66	600	210	290	180	900	120	127	135	325	570	500	580	500	540	540	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
391	974	288	352	911	590	906	655	653	624	506	1181	1480	1156	964	226	668	839	428	346	1004	1128	1037	1340	1076	739	695	377	252	286	76	94	360	496	867	448	629	183	161	694	369	65	490	184	263	159	458	113	100	117	253	450	356	513	355	463	472	
39	106	41	45	53	67	83	41	84	91	81	29	94	407	278	18	137	60	76	116	90	94	141	146	24	93	140	60	64	59	8	37	71	37	66	30	52	0	0	40	62	0	108	26	24	12	146	7	12	18	40	59	30	28	41	49	52	
0	10	1	3	36	3	301	4	33	110	68	15	626	237	228	56	15	411	176	8	6	78	122	34	0	118	65	33	14	5	6	19	19	17	67	122	269	7	9	16	29	1	2	0	3	9	296	0	15	0	32	61	114	39	104	28	16	
39	106	41	45	53	67	83	41	84	91	81	29	94	407	278	18	137	60	76	116	90	94	141	146	24	93	140	60	64	59	8	37	71	37	66	30	52	0	0	40	62	0	108	26	24	12	146	7	12	18	40	59	30	28	41	49	52	
391	974	288	352	911	590	905	655	653	624	506	1181	1480	1156	964	226	668	839	428	346	1003	1128	1036	1340	1076	739	695	377	252	286	76	94	360	496	867	448	629	183	161	694	369	65	490	184	263	159	458	113	100	117	253	450	356	513	355	463	472	
3	0	0	0	4	0	13	0	22	9	5	15	31	1	1	9	10	25	4	4	2	0	2	20	1	80	10	3	5	13	23	13	1	0	7	9	17	0	0	0	4	0	37	10	0	0	5	0	0	0	0	3	1	2	5	2	8	
427	1080	329	397	960	657	975	696	715	706	582	1195	1543	1562	1241	235	795	874	500	458	1091	1222	1175	1466	1099	752	825	434	311	332	61	118	430	533	926	469	664	183	161	734	427	65	561	200	287	171	599	120	112	135	293	506	385	539	391	510	516	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	5	2	1	2	1	9	2	4	6	4	2	7	1	2	0	0	5	2	2	5	14	2	4	4	4	5	3	4	1	0	2	4	1	3	3	6	4	1	1	1	0	2	0	3	0	2	0	0	1	3	1	2	3	1	5	1	
19	65	19	34	17	49	152	14	99	82	34	116	280	258	196	105	36	150	79	17	31	42	88	125	225	78	117	41	35	8	2	9	62	40	139	65	143	36	5	123	40	10	7	3	13	4	97	3	2	3	19	26	58	44	45	18	111	
4	34	10	4	27	13	46	7	29	31	16	8	77	1	2	5	4	50	43	40	43	60	89	63	19	29	44	20	10	3	1	4	11	26	20	31	44	10	6	25	30	1	11	5	26	14	43	6	13	10	13	31	13	21	17	22	30	
398	961	294	354	901	580	719	669	550	561	513	1063	1120	1299	1037	113	749	637	360	385	988	1040	984	1257	843	633	633	361	259	318	57	102	340	448	755	353	440	129	145	579	342	54	534	190	241	149	432	103	93	117	245	432	306	458	314	435	363	
1	7	0	1	2	4	13	0	9	8	5	2	18	1	1	6	2	6	6	5	4	18	2	6	2	3	7	4	0	0	1	0	3	7	5	6	10	0	1	1	7	0	2	1	2	2	13	2	3	2	4	9	4	3	6	6	3	
2	3	1	1	6	6	11	2	2	8	4	1	14	0	1	3	1	10	4	2	9	12	3	2	2	2	3	2	2	1	0	0	3	6	2	3	13	3	1	1	5	0	2	0	2	0	7	3	1	2	5	5	0	1	1	7	4	
2	3	1	1	3	2	17	0	8	4	6	1	15	1	1	2	1	10	2	4	8	14	5	5	2	2	8	3	1	0	0	1	2	3	1	4	5	0	1	2	1	0	2	0	0	0	2	1	0	0	3	1	1	7	2	7	2	
0	2	2	1	2	2	8	2	14	6	0	2	12	1	1	1	2	6	4	3	3	22	2	4	2	1	8	0	0	1	0	0	5	2	1	4	3	1	1	2	1	0	1	1	0	2	3	2	0	0	1	1	1	2	5	10	2	
