"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	"УИК №1243"	"УИК №1244"	"УИК №1245"	"УИК №1246"	"УИК №1247"	"УИК №1248"	"УИК №1249"	
1011	1992	1058	102	253	49	50	331	72	356	60	132	81	386	252	260	321	245	351	142	107	226	57	54	355	318	108	397	50	40	93	44	
996	1862	1019	132	304	57	62	360	73	379	59	151	95	420	271	290	397	258	364	146	112	252	59	60	400	327	120	448	48	45	143	72	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
474	987	443	44	158	23	33	235	51	144	28	55	43	206	146	194	219	161	205	62	37	121	32	33	215	190	64	207	36	17	67	44	
25	35	31	3	13	2	0	11	0	18	0	17	3	19	8	7	14	7	12	21	9	22	8	8	26	18	4	17	0	0	1	0	
497	840	545	85	133	32	29	114	22	217	31	79	49	195	117	89	164	90	147	63	66	109	19	19	159	119	52	224	12	28	75	28	
25	35	31	3	13	2	0	11	0	18	0	17	3	19	8	7	14	7	12	21	9	22	8	8	26	18	4	17	0	0	1	0	
474	987	443	44	158	23	33	235	51	144	28	55	43	206	146	194	219	161	205	62	37	121	32	33	215	190	64	207	36	17	67	44	
2	7	8	0	2	0	0	2	0	0	0	0	0	5	0	0	0	0	0	1	0	1	8	0	3	2	1	1	0	0	0	0	
497	1015	466	47	169	25	33	244	51	162	28	72	46	220	154	201	233	168	217	82	46	142	32	41	238	206	67	223	36	17	68	44	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	2	0	1	1	0	2	0	0	0	2	1	0	1	2	2	0	3	1	0	2	0	0	1	0	1	3	0	0	0	1	
96	204	95	7	22	4	2	35	1	7	0	8	1	37	10	17	17	18	27	10	5	17	2	0	22	12	2	10	0	0	3	1	
32	71	42	7	11	4	4	39	7	13	2	13	4	26	20	22	7	17	12	5	8	20	0	11	14	20	3	19	4	1	4	2	
360	712	316	33	133	15	27	163	42	138	26	49	39	154	117	160	206	132	168	66	33	96	30	27	196	170	59	184	30	13	60	38	
2	5	6	0	0	1	0	0	0	3	0	0	1	0	4	0	0	0	4	0	0	0	0	0	0	2	0	4	1	0	0	1	
3	10	2	0	1	0	0	4	0	1	0	0	0	2	1	0	0	1	3	0	0	6	0	0	5	2	2	1	0	3	1	0	
1	5	3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	
1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	
