"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	
2053	2208	1803	1487	1420	1660	1732	2259	2079	1683	1557	2250	1798	2212	1870	1878	1912	1795	1682	1378	1693	1677	1594	1511	1815	1359	1645	2389	1349	1693	1638	1003	1643	1758	2036	1374	1713	1945	2086	532	1513	1713	1703	1407	1408	1276	1876	1741	
2100	1900	1800	1450	1450	1650	1750	2350	2150	1650	1550	2200	1750	2300	1850	1850	1950	1800	1700	1350	1700	1650	1650	1450	1750	1350	1600	2500	1350	1700	1550	950	1550	1800	1950	1450	1250	2000	2150	450	1500	1700	1700	1400	1400	1000	1900	1650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
876	950	934	847	710	968	1008	1211	1288	990	927	1291	1077	1264	977	991	1076	1059	992	689	923	948	1005	941	1076	826	979	1244	619	942	815	555	948	1091	1261	751	947	1057	995	277	897	847	869	735	847	765	1076	1048	
48	5	19	15	6	9	26	10	6	28	14	63	16	26	33	18	27	23	15	18	20	22	9	46	18	14	31	35	13	26	137	9	59	23	23	30	28	30	48	1	33	19	32	20	14	22	23	21	
1176	945	847	588	734	673	716	1129	856	632	609	846	657	1010	840	841	847	718	693	643	757	680	636	463	656	510	590	1221	718	732	598	386	543	686	666	669	275	913	1107	172	570	834	799	645	539	213	801	581	
48	5	18	15	6	9	26	10	6	28	14	63	16	26	33	18	27	23	15	18	20	22	9	46	18	14	31	35	13	26	137	9	59	23	23	30	28	30	48	1	33	19	32	20	14	22	23	21	
876	950	934	847	710	968	1008	1211	1287	986	927	1291	1077	1264	977	991	1076	1058	991	689	923	948	1005	941	1076	826	979	1244	619	942	815	555	948	1091	1261	751	947	1057	995	277	864	847	869	735	847	765	1076	1048	
9	7	8	12	11	10	10	14	10	14	10	8	8	6	10	19	16	11	2	7	50	10	10	8	10	8	10	12	3	12	6	4	8	7	11	8	8	11	35	2	6	8	8	9	11	9	9	14	
915	948	944	850	705	967	1024	1207	1283	1000	931	1346	1085	1284	1000	990	1087	1070	1004	700	893	960	1004	979	1084	832	1000	1267	629	956	946	560	999	1107	1273	773	967	1076	1008	276	891	858	893	746	850	778	1090	1055	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	4	2	4	9	7	4	3	12	6	10	8	7	11	8	6	6	6	6	4	4	6	3	9	7	5	7	9	4	4	4	3	8	7	13	8	5	2	5	2	2	4	9	6	5	10	7	8	
139	105	103	86	76	112	125	164	162	113	112	164	123	180	109	119	129	120	110	93	101	123	126	112	129	97	133	144	72	118	123	59	114	139	142	76	90	120	119	36	101	81	117	73	92	107	133	144	
66	61	70	64	40	73	74	101	82	58	67	78	58	68	54	73	79	80	69	55	58	63	75	63	67	47	59	90	44	88	57	50	60	59	87	56	70	83	75	46	64	67	59	51	66	27	61	58	
669	743	730	656	549	730	788	882	954	766	694	1022	843	939	786	749	829	821	773	516	685	714	755	743	830	642	736	965	480	726	711	422	751	822	976	592	750	833	762	183	677	668	663	583	640	581	805	790	
20	14	17	16	12	21	15	27	38	18	15	36	18	36	23	14	19	23	17	10	24	17	15	16	24	15	33	24	12	9	22	6	23	43	27	18	17	20	21	7	19	18	22	13	17	18	45	24	
4	6	9	10	8	7	5	11	8	10	7	9	9	10	4	9	8	5	5	9	6	9	5	8	7	8	5	8	2	0	10	5	12	6	7	10	9	4	5	0	4	5	8	3	7	10	4	9	
5	3	5	11	4	3	4	9	11	7	11	12	11	19	6	4	4	2	10	4	6	8	9	11	5	5	10	4	5	7	8	4	6	11	10	2	8	6	8	1	5	5	5	8	9	9	10	9	
8	12	8	3	7	14	9	10	16	22	15	17	16	21	10	16	13	13	14	9	9	20	16	17	15	13	17	23	10	4	11	11	25	20	11	11	18	8	13	1	19	10	10	9	14	16	25	13	
